,Crossing
2997,79
2998,11
2999,52
3000,76
3001,18
3002,61
3003,50
3004,40
3005,73
3006,67
3007,12
3008,73
3009,73
3010,66
3011,61
3012,48
3013,38
3014,50
3015,55
3016,57
3017,30
3018,78
3019,56
3020,68
3021,67
3022,76
3023,73
3024,61
3025,69
3026,49
3027,26
3028,72
3029,60
3030,66
3031,64
3032,64
3033,74
3034,62
3035,68
3036,71
3037,45
3038,75
3039,52
3040,53
3041,73
3042,71
3043,58
3044,12
3045,66
3046,20
3047,72
3048,43
3049,18
3050,77
3051,10
3052,40
3053,16
3054,56
3055,68
3056,45
3057,64
3058,68
3059,46
3060,46
3061,72
3062,63
3063,51
3064,79
3065,74
3066,72
3067,61
3068,21
3069,57
3070,80
3071,65
3072,67
3073,68
3074,63
3075,69
3076,55
3077,30
3078,34
3079,59
3080,35
3081,71
3082,58
3083,15
3084,19
3085,56
3086,67
3087,69
3088,65
3089,50
3090,73
3091,70
3092,14
3093,43
3094,14
3095,36
3096,66
3097,69
3098,68
3099,37
3100,13
3101,75
3102,79
3103,80
3104,72
3105,39
3106,43
3107,68
3108,57
3109,72
3110,53
3111,53
3112,65
3113,53
3114,61
3115,50
3116,63
3117,62
3118,65
3119,21
3120,55
3121,45
3122,31
3123,74
3124,79
3125,20
3126,75
3127,38
3128,8
3129,12
3130,64
3131,11
3132,76
3133,66
3134,75
3135,58
3136,13
3137,68
3138,74
3139,72
3140,59
3141,65
3142,74
3143,65
3144,30
3145,51
3146,20
3147,53
3148,74
3149,61
3150,62
3151,16
3152,72
3153,75
3154,68
3155,52
3156,73
3157,60
3158,47
3159,44
3160,68
3161,14
3162,14
3163,13
3164,61
3165,70
3166,47
3167,30
3168,16
3169,70
3170,66
3171,49
3172,16
3173,76
3174,69
3175,51
3176,11
3177,69
3178,71
3179,74
3180,62
3181,15
3182,74
3183,11
3184,71
3185,75
3186,84
3187,63
3188,71
3189,52
3190,65
3191,54
3192,63
3193,74
3194,76
3195,71
3196,69
3197,72
3198,28
3199,67
3200,63
3201,35
3202,64
3203,75
3204,68
3205,56
3206,44
3207,80
3208,61
3209,72
3210,29
3211,74
3212,59
3213,59
3214,50
3215,78
3216,71
3217,67
3218,69
3219,49
3220,55
3221,74
3222,71
3223,79
3224,77
3225,55
3226,65
3227,73
3228,47
3229,39
3230,74
3231,43
3232,46
3233,39
3234,63
3235,72
3236,50
3237,67
3238,66
3239,72
3240,61
3241,59
3242,68
3243,57
3244,64
3245,52
3246,74
3247,72
3248,64
3249,45
3250,40
3251,76
3252,66
3253,76
3254,60
3255,46
3256,75
3257,41
3258,75
3259,56
3260,70
3261,14
3262,26
3263,51
3264,51
3265,35
3266,69
3267,64
3268,33
3269,47
3270,66
3271,37
3272,47
3273,39
3274,72
3275,73
3276,65
3277,30
3278,74
3279,19
3280,60
3281,74
3282,13
3283,70
3284,65
3285,71
3286,52
3287,66
3288,64
3289,69
3290,69
3291,44
3292,50
3293,60
3294,67
3295,67
3296,67
3297,57
3298,72
3299,31
3300,72
3301,70
3302,60
3303,12
3304,76
3305,66
3306,69
3307,54
3308,70
3309,65
3310,76
3311,67
3312,59
3313,65
3314,62
3315,62
3316,66
3317,60
3318,12
3319,74
3320,49
3321,54
3322,57
3323,56
3324,78
3325,67
3326,74
3327,66
3328,43
3329,49
3330,32
3331,74
3332,68
3333,57
3334,12
3335,51
3336,59
3337,14
3338,67
3339,71
3340,67
3341,72
3342,62
3343,65
3344,66
3345,64
3346,74
3347,47
3348,58
3349,65
3350,50
3351,15
3352,63
3353,58
3354,15
3355,69
3356,14
3357,35
3358,44
3359,57
3360,54
3361,70
3362,65
3363,69
3364,63
3365,65
3366,65
3367,48
3368,41
3369,70
3370,18
3371,20
3372,12
3373,62
3374,70
3375,33
3376,63
3377,52
3378,67
3379,62
3380,72
3381,51
3382,58
3383,11
3384,71
3385,72
3386,49
3387,35
3388,12
3389,55
3390,70
3391,56
3392,59
3393,66
3394,34
3395,61
3396,66
3397,67
3398,73
3399,58
3400,75
3401,49
3402,72
3403,65
3404,48
3405,56
3406,72
3407,18
3408,62
3409,73
3410,42
3411,70
3412,68
3413,65
3414,39
3415,70
3416,68
3417,68
3418,57
3419,57
3420,67
3421,43
3422,75
3423,64
3424,56
3425,63
3426,53
3427,53
3428,77
3429,73
3430,70
3431,59
3432,64
3433,72
3434,72
3435,59
3436,73
3437,66
3438,59
3439,76
3440,22
3441,49
3442,78
3443,50
3444,65
3445,72
3446,67
3447,68
3448,69
3449,40
3450,67
3451,48
3452,71
3453,70
3454,67
3455,66
3456,19
3457,72
3458,66
3459,62
3460,72
3461,74
3462,27
3463,78
3464,12
3465,35
3466,69
3467,51
3468,51
3469,75
3470,70
3471,54
3472,65
3473,65
3474,72
3475,73
3476,45
3477,76
3478,68
3479,49
3480,63
3481,74
3482,54
3483,73
3484,57
3485,39
3486,11
3487,70
3488,71
3489,38
3490,73
3491,63
3492,49
3493,46
3494,66
3495,68
3496,13
3497,62
3498,73
3499,63
3500,70
3501,71
3502,67
3503,63
3504,53
3505,59
3506,58
3507,70
3508,65
3509,51
3510,72
3511,39
3512,52
3513,67
3514,69
3515,64
3516,62
3517,58
3518,57
3519,57
3520,64
3521,56
3522,30
3523,65
3524,65
3525,32
3526,49
3527,54
3528,62
3529,60
3530,62
3531,35
3532,69
3533,65
3534,48
3535,57
3536,63
3537,51
3538,71
3539,38
3540,71
3541,51
3542,72
3543,54
3544,72
3545,51
3546,72
3547,44
3548,67
3549,35
3550,78
3551,49
3552,66
3553,74
3554,74
3555,69
3556,66
3557,72
3558,68
3559,70
3560,67
3561,70
3562,69
3563,73
3564,67
3565,74
3566,59
3567,73
3568,68
3569,72
3570,72
3571,34
3572,36
3573,63
3574,61
3575,72
3576,73
3577,66
3578,50
3579,70
3580,68
3581,50
3582,53
3583,70
3584,16
3585,74
3586,63
3587,57
3588,66
3589,24
3590,50
3591,40
3592,21
3593,67
3594,18
3595,70
3596,66
3597,30
3598,56
3599,64
3600,57
3601,58
3602,70
3603,70
3604,63
3605,49
3606,36
3607,62
3608,59
3609,66
3610,13
3611,61
3612,37
3613,19
3614,68
3615,76
3616,74
3617,16
3618,30
3619,11
3620,42
3621,42
3622,70
3623,13
3624,76
3625,60
3626,74
3627,71
3628,43
3629,37
3630,70
3631,29
3632,64
3633,62
3634,80
3635,75
3636,69
3637,33
3638,56
3639,67
3640,62
3641,19
3642,66
3643,70
3644,68
3645,56
3646,56
3647,72
3648,62
3649,68
3650,74
3651,34
3652,43
3653,70
3654,69
3655,64
3656,33
3657,18
3658,71
3659,49
3660,69
3661,71
3662,58
3663,72
3664,63
3665,48
3666,49
3667,53
3668,35
3669,70
3670,34
3671,28
3672,28
3673,58
3674,55
3675,67
3676,75
3677,66
3678,70
3679,65
3680,72
3681,13
3682,61
3683,42
3684,65
3685,70
3686,9
3687,52
3688,33
3689,46
3690,67
3691,64
3692,63
3693,18
3694,57
3695,54
3696,12
3697,72
3698,58
3699,72
3700,39
3701,61
3702,73
3703,62
3704,72
3705,70
3706,33
3707,68
3708,74
3709,62
3710,29
3711,56
3712,19
3713,71
3714,72
3715,64
3716,60
3717,77
3718,75
3719,68
3720,73
3721,35
3722,67
3723,67
3724,71
3725,50
3726,72
3727,59
3728,13
3729,62
3730,60
3731,68
3732,46
3733,67
3734,58
3735,20
3736,74
3737,67
3738,73
3739,69
3740,74
3741,72
3742,62
3743,57
3744,70
3745,70
3746,65
3747,64
3748,63
3749,76
3750,50
3751,64
3752,73
3753,74
3754,65
3755,66
3756,68
3757,69
3758,51
3759,32
3760,72
3761,14
3762,73
3763,55
3764,60
3765,69
3766,72
3767,75
3768,65
3769,66
3770,32
3771,60
3772,25
3773,79
3774,79
3775,50
3776,62
3777,72
3778,22
3779,60
3780,70
3781,66
3782,42
3783,65
3784,63
3785,57
3786,62
3787,42
3788,46
3789,59
3790,68
3791,51
3792,48
3793,35
3794,72
3795,60
3796,59
3797,77
3798,68
3799,43
3800,61
3801,30
3802,67
3803,34
3804,73
3805,72
3806,39
3807,59
3808,27
3809,60
3810,58
3811,65
3812,34
3813,63
3814,74
3815,59
3816,40
3817,75
3818,58
3819,58
3820,67
3821,57
3822,12
3823,51
3824,71
3825,71
3826,70
3827,34
3828,50
3829,11
3830,58
3831,72
3832,39
3833,52
3834,57
3835,13
3836,68
3837,68
3838,68
3839,69
3840,73
3841,51
3842,68
3843,68
3844,60
3845,55
3846,69
3847,56
3848,40
3849,71
3850,37
3851,50
3852,67
3853,68
3854,66
3855,69
3856,74
3857,66
3858,67
3859,72
3860,55
3861,66
3862,53
3863,62
3864,72
3865,56
3866,59
3867,55
3868,11
3869,63
3870,55
3871,65
3872,70
3873,48
3874,67
3875,34
3876,34
3877,69
3878,61
3879,72
3880,71
3881,70
3882,52
3883,71
3884,38
3885,41
3886,53
3887,63
3888,62
3889,66
3890,43
3891,55
3892,55
3893,67
3894,20
3895,60
3896,55
3897,72
3898,70
3899,51
3900,63
3901,13
3902,61
3903,41
3904,62
3905,74
3906,20
3907,28
3908,70
3909,18
3910,58
3911,70
3912,70
3913,71
3914,14
3915,47
3916,52
3917,61
3918,17
3919,67
3920,19
3921,65
3922,52
3923,42
3924,67
3925,67
3926,55
3927,55
3928,71
3929,59
3930,72
3931,59
3932,54
3933,72
3934,60
3935,54
3936,76
3937,76
3938,73
3939,58
3940,35
3941,67
3942,39
3943,26
3944,75
3945,61
3946,66
3947,18
3948,36
3949,68
3950,37
3951,66
3952,69
3953,70
3954,69
3955,68
3956,80
3957,50
3958,51
3959,60
3960,69
3961,68
3962,74
3963,65
3964,71
3965,75
3966,56
3967,54
3968,38
3969,41
3970,64
3971,70
3972,39
3973,70
3974,59
3975,72
3976,14
3977,65
3978,65
3979,67
3980,54
3981,75
3982,66
3983,53
3984,65
3985,55
3986,61
3987,66
3988,45
3989,56
3990,64
3991,36
3992,39
3993,18
3994,38
3995,55
3996,22
3997,48
3998,73
3999,33
4000,39
4001,52
4002,67
4003,67
4004,73
4005,10
4006,60
4007,23
4008,45
4009,48
4010,73
4011,68
4012,19
4013,71
4014,81
4015,51
4016,35
4017,34
4018,19
4019,19
4020,60
4021,49
4022,12
4023,64
4024,62
4025,50
4026,34
4027,64
4028,41
4029,41
4030,16
4031,67
4032,55
4033,35
4034,62
4035,76
4036,67
4037,73
4038,59
4039,50
4040,69
4041,50
4042,43
4043,67
4044,74
4045,38
4046,45
4047,57
4048,59
4049,20
4050,63
4051,70
4052,57
4053,70
4054,11
4055,42
4056,14
4057,52
4058,49
4059,70
4060,14
4061,10
4062,41
4063,65
4064,14
4065,56
4066,73
4067,34
4068,66
4069,47
4070,73
4071,37
4072,64
4073,64
4074,67
4075,55
4076,69
4077,64
4078,49
4079,56
4080,56
4081,55
4082,73
4083,67
4084,68
4085,10
4086,69
4087,64
4088,47
4089,59
4090,59
4091,39
4092,60
4093,42
4094,72
4095,36
4096,56
4097,13
4098,66
4099,55
4100,48
4101,64
4102,66
4103,64
4104,49
4105,64
4106,65
4107,52
4108,45
4109,49
4110,66
4111,34
4112,38
4113,59
4114,70
4115,59
4116,59
4117,66
4118,64
4119,50
4120,66
4121,65
4122,68
4123,70
4124,56
4125,20
4126,55
4127,34
4128,66
4129,14
4130,44
4131,44
4132,33
4133,30
4134,59
4135,53
4136,67
4137,70
4138,57
4139,43
4140,57
4141,70
4142,75
4143,72
4144,69
4145,69
4146,65
4147,65
4148,37
4149,71
4150,59
4151,49
4152,60
4153,60
4154,27
4155,67
4156,76
4157,76
4158,75
4159,11
4160,12
4161,36
4162,33
4163,47
4164,70
4165,75
4166,13
4167,58
4168,57
4169,54
4170,65
4171,58
4172,53
4173,41
4174,59
4175,14
4176,29
4177,18
4178,13
4179,74
4180,68
4181,73
4182,73
4183,60
4184,64
4185,72
4186,32
4187,72
4188,66
4189,64
4190,25
4191,73
4192,59
4193,32
4194,62
4195,73
4196,60
4197,66
4198,65
4199,61
4200,74
4201,33
4202,68
4203,70
4204,71
4205,62
4206,54
4207,73
4208,76
4209,45
4210,52
4211,59
4212,50
4213,65
4214,62
4215,10
4216,11
4217,72
4218,73
4219,64
4220,60
4221,68
4222,11
4223,9
4224,64
4225,50
4226,63
4227,64
4228,60
4229,72
4230,70
4231,59
4232,32
4233,32
4234,67
4235,59
4236,11
4237,25
4238,23
4239,42
4240,75
4241,37
4242,70
4243,18
4244,36
4245,62
4246,35
4247,26
4248,57
4249,73
4250,66
4251,50
4252,30
4253,74
4254,60
4255,59
4256,75
4257,64
4258,61
4259,71
4260,71
4261,38
4262,38
4263,45
4264,43
4265,58
4266,64
4267,69
4268,48
4269,26
4270,35
4271,70
4272,68
4273,67
4274,67
4275,70
4276,57
4277,74
4278,58
4279,56
4280,76
4281,67
4282,63
4283,68
4284,68
4285,55
4286,66
4287,71
4288,8
4289,66
4290,63
4291,17
4292,69
4293,66
4294,42
4295,68
4296,52
4297,74
4298,37
4299,48
4300,62
4301,68
4302,59
4303,71
4304,42
4305,62
4306,56
4307,63
4308,70
4309,73
4310,53
4311,58
4312,11
4313,70
4314,9
4315,49
4316,40
4317,77
4318,73
4319,66
4320,76
4321,72
4322,67
4323,57
4324,64
4325,16
4326,54
4327,57
4328,47
4329,35
4330,40
4331,70
4332,19
4333,69
4334,57
4335,57
4336,72
4337,47
4338,70
4339,63
4340,74
4341,13
4342,59
4343,42
4344,62
4345,60
4346,30
4347,15
4348,63
4349,40
4350,71
4351,15
4352,19
4353,71
4354,66
4355,56
4356,73
4357,30
4358,58
4359,11
4360,67
4361,61
4362,44
4363,42
4364,58
4365,64
4366,69
4367,35
4368,68
4369,52
4370,57
4371,12
4372,64
4373,60
4374,41
4375,59
4376,74
4377,64
4378,61
4379,64
4380,69
4381,58
4382,32
4383,75
4384,72
4385,68
4386,68
4387,36
4388,50
4389,66
4390,29
4391,51
4392,68
4393,12
4394,62
4395,68
4396,76
4397,76
4398,70
4399,70
4400,60
4401,42
4402,64
4403,74
4404,63
4405,73
4406,71
4407,41
4408,72
4409,55
4410,65
4411,44
4412,60
4413,70
4414,71
4415,59
4416,24
4417,65
4418,53
4419,72
4420,38
4421,76
4422,66
4423,67
4424,77
4425,43
4426,61
4427,76
4428,48
4429,67
4430,71
4431,68
4432,57
4433,9
4434,74
4435,61
4436,66
4437,66
4438,75
4439,66
4440,52
4441,61
4442,67
4443,52
4444,60
4445,74
4446,71
4447,26
4448,63
4449,42
4450,59
4451,38
4452,68
4453,78
4454,66
4455,46
4456,60
4457,72
4458,50
4459,32
4460,68
4461,40
4462,66
4463,26
4464,69
4465,69
4466,64
4467,15
4468,28
4469,58
4470,63
4471,12
4472,62
4473,65
4474,68
4475,21
4476,49
4477,71
4478,63
4479,65
4480,48
4481,51
4482,56
4483,55
4484,11
4485,40
4486,75
4487,66
4488,66
4489,66
4490,72
4491,60
4492,72
4493,55
4494,60
4495,69
4496,68
4497,11
4498,64
4499,69
4500,40
4501,54
4502,12
4503,45
4504,30
4505,66
4506,59
4507,67
4508,67
4509,43
4510,14
4511,42
4512,55
4513,68
4514,63
4515,46
4516,77
4517,58
4518,40
4519,67
4520,28
4521,72
4522,57
4523,35
4524,60
4525,69
4526,71
4527,29
4528,73
4529,48
4530,67
4531,57
4532,70
4533,55
4534,15
4535,68
4536,11
4537,32
4538,58
4539,58
4540,69
4541,59
4542,72
4543,31
4544,56
4545,63
4546,78
4547,66
4548,60
4549,56
4550,67
4551,67
4552,58
4553,58
4554,64
4555,12
4556,71
4557,68
4558,52
4559,69
4560,72
4561,70
4562,72
4563,58
4564,63
4565,54
4566,38
4567,40
4568,69
4569,15
4570,63
4571,59
4572,58
4573,61
4574,62
4575,68
4576,72
4577,59
4578,9
4579,69
4580,67
4581,69
4582,70
4583,67
4584,64
4585,77
4586,42
4587,59
4588,78
4589,79
4590,79
4591,52
4592,70
4593,63
4594,65
4595,72
4596,48
4597,18
4598,71
4599,72
4600,17
4601,68
4602,65
4603,70
4604,14
4605,70
4606,40
4607,71
4608,60
4609,73
4610,66
4611,65
4612,58
4613,63
4614,25
4615,65
4616,8
4617,56
4618,11
4619,54
4620,52
4621,67
4622,25
4623,56
4624,71
4625,36
4626,59
4627,61
4628,32
4629,35
4630,59
4631,46
4632,73
4633,60
4634,14
4635,31
4636,50
4637,45
4638,70
4639,56
4640,65
4641,65
4642,74
4643,49
4644,21
4645,60
4646,67
4647,58
4648,79
4649,44
4650,12
4651,73
4652,11
4653,57
4654,26
4655,70
4656,53
4657,68
4658,47
4659,54
4660,67
4661,29
4662,35
4663,53
4664,60
4665,56
4666,68
4667,71
4668,58
4669,56
4670,30
4671,66
4672,69
4673,59
4674,68
4675,19
4676,32
4677,63
4678,56
4679,40
4680,50
4681,65
4682,73
4683,75
4684,62
4685,64
4686,12
4687,41
4688,72
4689,60
4690,11
4691,13
4692,13
4693,62
4694,37
4695,75
4696,65
4697,67
4698,47
4699,78
4700,61
4701,12
4702,48
4703,12
4704,29
4705,34
4706,71
4707,73
4708,59
4709,58
4710,54
4711,14
4712,17
4713,58
4714,25
4715,68
4716,57
4717,10
4718,47
4719,67
4720,62
4721,57
4722,50
4723,69
4724,36
4725,68
4726,66
4727,70
4728,67
4729,59
4730,32
4731,54
4732,61
4733,21
4734,69
4735,67
4736,70
4737,10
4738,24
4739,64
4740,68
4741,70
4742,54
4743,54
4744,67
4745,73
4746,65
4747,63
4748,68
4749,17
4750,52
4751,47
4752,46
4753,21
4754,7
4755,51
4756,45
4757,69
4758,26
4759,54
4760,10
4761,52
4762,59
4763,64
4764,73
4765,33
4766,67
4767,45
4768,67
4769,8
4770,39
4771,70
4772,48
4773,51
4774,11
4775,80
4776,58
4777,60
4778,62
4779,77
4780,29
4781,74
4782,69
4783,69
4784,50
4785,53
4786,66
4787,64
4788,28
4789,54
4790,66
4791,13
4792,75
4793,69
4794,69
4795,35
4796,77
4797,70
4798,15
4799,43
4800,67
4801,68
4802,60
4803,20
4804,73
4805,40
4806,63
4807,66
4808,46
4809,51
4810,13
4811,67
4812,14
4813,60
4814,58
4815,58
4816,46
4817,60
4818,54
4819,14
4820,53
4821,38
4822,6
4823,65
4824,65
4825,64
4826,67
4827,49
4828,57
4829,51
4830,73
4831,19
4832,40
4833,63
4834,72
4835,71
4836,62
4837,32
4838,63
4839,71
4840,59
4841,36
4842,70
4843,79
4844,67
4845,67
4846,70
4847,58
4848,63
4849,77
4850,42
4851,71
4852,73
4853,54
4854,60
4855,60
4856,67
4857,70
4858,46
4859,62
4860,66
4861,64
4862,56
4863,44
4864,75
4865,68
4866,69
4867,46
4868,70
4869,72
4870,67
4871,66
4872,55
4873,67
4874,57
4875,62
4876,65
4877,12
4878,62
4879,64
4880,73
4881,59
4882,65
4883,15
4884,64
4885,76
4886,29
4887,62
4888,62
4889,37
4890,53
4891,65
4892,66
4893,68
4894,45
4895,70
4896,70
4897,51
4898,29
4899,48
4900,67
4901,67
4902,53
4903,55
4904,44
4905,11
4906,31
4907,63
4908,68
4909,41
4910,45
4911,53
4912,63
4913,74
4914,58
4915,57
4916,71
4917,60
4918,52
4919,65
4920,71
4921,36
4922,63
4923,65
4924,14
4925,64
4926,29
4927,67
4928,35
4929,67
4930,23
4931,54
4932,80
4933,59
4934,73
4935,59
4936,68
4937,63
4938,40
4939,80
4940,11
4941,14
4942,59
4943,61
4944,62
4945,67
4946,25
4947,25
4948,54
4949,66
4950,62
4951,60
4952,51
4953,71
4954,53
4955,50
4956,73
4957,57
4958,11
4959,64
4960,63
4961,43
4962,69
4963,41
4964,72
4965,64
4966,63
4967,61
4968,58
4969,62
4970,65
4971,63
4972,30
4973,13
4974,27
4975,69
4976,72
4977,73
4978,48
4979,15
4980,70
4981,51
4982,64
4983,67
4984,49
4985,63
4986,38
4987,11
4988,59
4989,72
4990,11
4991,64
4992,64
4993,69
4994,61
4995,67
4996,78
4997,11
4998,11
4999,67
5000,58
5001,72
5002,49
5003,61
5004,57
5005,71
5006,62
5007,70
5008,67
5009,69
5010,16
5011,73
5012,55
5013,62
5014,57
5015,66
5016,71
5017,52
5018,70
5019,42
5020,11
5021,15
5022,70
5023,71
5024,56
5025,72
5026,47
5027,63
5028,68
5029,65
5030,72
5031,74
5032,44
5033,66
5034,68
5035,67
5036,39
5037,71
5038,28
5039,67
5040,68
5041,64
5042,22
5043,44
5044,46
5045,62
5046,68
5047,45
5048,44
5049,44
5050,13
5051,70
5052,38
5053,52
5054,41
5055,20
5056,68
5057,22
5058,26
5059,17
5060,69
5061,35
5062,62
5063,70
5064,68
5065,38
5066,38
5067,13
5068,72
5069,46
5070,62
5071,68
5072,11
5073,41
5074,52
5075,51
5076,60
5077,61
5078,75
5079,68
5080,68
5081,57
5082,65
5083,62
5084,66
5085,75
5086,59
5087,60
5088,71
5089,73
5090,72
5091,60
5092,45
5093,13
5094,11
5095,23
5096,58
5097,64
5098,70
5099,68
5100,68
5101,70
5102,66
5103,55
5104,11
5105,61
5106,58
5107,72
5108,53
5109,67
5110,47
5111,68
5112,67
5113,44
5114,65
5115,71
5116,60
5117,66
5118,69
5119,25
5120,77
5121,65
5122,31
5123,70
5124,71
5125,13
5126,76
5127,12
5128,68
5129,28
5130,68
5131,43
5132,61
5133,43
5134,67
5135,15
5136,55
5137,50
5138,67
5139,60
5140,43
5141,64
5142,64
5143,52
5144,14
5145,36
5146,38
5147,67
5148,43
5149,63
5150,58
5151,58
5152,71
5153,26
5154,65
5155,21
5156,60
5157,50
5158,62
5159,40
5160,68
5161,68
5162,41
5163,66
5164,42
5165,11
5166,47
5167,54
5168,57
5169,64
5170,52
5171,63
5172,71
5173,15
5174,72
5175,19
5176,53
5177,55
5178,64
5179,55
5180,64
5181,62
5182,66
5183,38
5184,68
5185,65
5186,49
5187,74
5188,68
5189,73
5190,40
5191,70
5192,61
5193,71
5194,54
5195,63
5196,57
5197,61
5198,35
5199,73
5200,66
5201,64
5202,64
5203,67
5204,68
5205,68
5206,65
5207,56
5208,67
5209,69
5210,67
5211,48
5212,41
5213,74
5214,73
5215,58
5216,69
5217,62
5218,68
5219,73
5220,26
5221,53
5222,66
5223,60
5224,69
5225,17
5226,68
5227,65
5228,37
5229,55
5230,66
5231,68
5232,55
5233,58
5234,65
5235,64
5236,67
5237,64
5238,35
5239,75
5240,11
5241,44
5242,43
5243,55
5244,67
5245,67
5246,22
5247,73
5248,65
5249,51
5250,55
5251,58
5252,78
5253,78
5254,58
5255,31
5256,61
5257,35
5258,63
5259,61
5260,58
5261,12
5262,70
5263,65
5264,51
5265,66
5266,43
5267,62
5268,13
5269,72
5270,21
5271,68
5272,66
5273,75
5274,63
5275,68
5276,68
5277,58
5278,72
5279,64
5280,38
5281,68
5282,40
5283,30
5284,18
5285,58
5286,12
5287,65
5288,58
5289,59
5290,49
5291,70
5292,62
5293,67
5294,64
5295,61
5296,70
5297,58
5298,73
5299,13
5300,60
5301,62
5302,41
5303,52
5304,52
5305,34
5306,69
5307,51
5308,64
5309,74
5310,69
5311,70
5312,17
5313,66
5314,10
5315,20
5316,70
5317,21
5318,52
5319,56
5320,68
5321,50
5322,13
5323,39
5324,29
5325,55
5326,62
5327,55
5328,61
5329,68
5330,78
5331,11
5332,57
5333,66
5334,11
5335,68
5336,65
5337,67
5338,59
5339,70
5340,70
5341,33
5342,32
5343,34
5344,60
5345,75
5346,68
5347,51
5348,64
5349,66
5350,64
5351,65
5352,63
5353,34
5354,14
5355,14
5356,52
5357,66
5358,48
5359,72
5360,61
5361,14
5362,81
5363,30
5364,52
5365,64
5366,69
5367,54
5368,65
5369,63
5370,43
5371,70
5372,67
5373,16
5374,38
5375,74
5376,51
5377,71
5378,68
5379,10
5380,28
5381,56
5382,64
5383,62
5384,50
5385,65
5386,74
5387,65
5388,13
5389,62
5390,53
5391,49
5392,30
5393,75
5394,65
5395,38
5396,56
5397,71
5398,66
5399,27
5400,46
5401,68
5402,64
5403,70
5404,48
5405,12
5406,12
5407,30
5408,12
5409,67
5410,42
5411,54
5412,67
5413,74
5414,36
5415,65
5416,71
5417,72
5418,67
5419,58
5420,50
5421,63
5422,49
5423,10
5424,73
5425,59
5426,68
5427,14
5428,65
5429,55
5430,70
5431,67
5432,66
5433,66
5434,45
5435,63
5436,63
5437,43
5438,66
5439,39
5440,48
5441,67
5442,49
5443,66
5444,36
5445,62
5446,56
5447,61
5448,65
5449,58
5450,64
5451,64
5452,39
5453,70
5454,69
5455,60
5456,19
5457,19
5458,56
5459,32
5460,54
5461,58
5462,42
5463,69
5464,71
5465,70
5466,50
5467,67
5468,59
5469,65
5470,66
5471,32
5472,14
5473,67
5474,59
5475,66
5476,34
5477,67
5478,56
5479,70
5480,11
5481,66
5482,66
5483,53
5484,14
5485,31
5486,53
5487,63
5488,41
5489,59
5490,70
5491,58
5492,34
5493,63
5494,65
5495,69
5496,68
5497,69
5498,34
5499,28
5500,66
5501,68
5502,60
5503,68
5504,65
5505,66
5506,33
5507,66
5508,66
5509,66
5510,77
5511,65
5512,57
5513,37
5514,67
5515,32
5516,71
5517,47
5518,20
5519,56
5520,69
5521,75
5522,28
5523,51
5524,57
5525,12
5526,58
5527,74
5528,63
5529,30
5530,65
5531,61
5532,63
5533,36
5534,63
5535,54
5536,67
5537,56
5538,64
5539,68
5540,24
5541,20
5542,68
5543,73
5544,55
5545,70
5546,61
5547,61
5548,43
5549,21
5550,54
5551,63
5552,67
5553,69
5554,15
5555,62
5556,70
5557,48
5558,22
5559,22
5560,59
5561,63
5562,62
5563,67
5564,73
5565,72
5566,71
5567,33
5568,68
5569,51
5570,73
5571,53
5572,61
5573,63
5574,35
5575,39
5576,68
5577,53
5578,24
5579,14
5580,29
5581,34
5582,59
5583,63
5584,73
5585,68
5586,57
5587,68
5588,28
5589,67
5590,32
5591,59
5592,64
5593,71
5594,52
5595,11
5596,67
5597,58
5598,33
5599,11
5600,56
5601,40
5602,69
5603,59
5604,52
5605,51
5606,59
5607,25
5608,53
5609,68
5610,68
5611,68
5612,32
5613,24
5614,74
5615,76
5616,13
5617,20
5618,40
5619,64
5620,59
5621,67
5622,66
5623,67
5624,67
5625,57
5626,66
5627,71
5628,69
5629,58
5630,61
5631,53
5632,69
5633,64
5634,55
5635,60
5636,44
5637,22
5638,12
5639,60
5640,72
5641,54
5642,65
5643,73
5644,68
5645,42
5646,56
5647,22
5648,68
5649,59
5650,62
5651,72
5652,63
5653,20
5654,67
5655,57
5656,69
5657,21
5658,52
5659,14
5660,42
5661,42
5662,36
5663,66
5664,24
5665,64
5666,41
5667,33
5668,61
5669,10
5670,64
5671,65
5672,63
5673,60
5674,77
5675,45
5676,69
5677,11
5678,54
5679,65
5680,79
5681,66
5682,36
5683,69
5684,69
5685,72
5686,32
5687,67
5688,71
5689,14
5690,64
5691,54
5692,78
5693,65
5694,56
5695,34
5696,56
5697,60
5698,53
5699,70
5700,60
5701,49
5702,64
5703,67
5704,23
5705,71
5706,36
5707,70
5708,61
5709,11
5710,66
5711,45
5712,45
5713,33
5714,45
5715,46
5716,43
5717,72
5718,57
5719,63
5720,38
5721,29
5722,62
5723,51
5724,52
5725,71
5726,76
5727,67
5728,48
5729,72
5730,61
5731,73
5732,57
5733,11
5734,67
5735,75
5736,68
5737,68
5738,65
5739,64
5740,49
5741,64
5742,38
5743,60
5744,39
5745,67
5746,62
5747,30
5748,70
5749,74
5750,67
5751,26
5752,68
5753,72
5754,11
5755,62
5756,53
5757,40
5758,58
5759,43
5760,67
5761,52
5762,53
5763,53
5764,73
5765,66
5766,66
5767,58
5768,52
5769,59
5770,55
5771,72
5772,13
5773,76
5774,69
5775,67
5776,19
5777,44
5778,33
5779,39
5780,70
5781,81
5782,71
5783,35
5784,63
5785,61
5786,48
5787,61
5788,22
5789,60
5790,49
5791,66
5792,54
5793,17
5794,68
