,Defending
2998,41
2999,60
3000,210
3001,44
3002,57
3003,218
3004,215
3005,94
3006,88
3007,44
3008,116
3009,116
3010,217
3011,84
3012,224
3013,223
3014,50
3015,220
3016,128
3017,216
3018,80
3019,224
3020,81
3021,212
3022,204
3023,66
3024,219
3025,207
3026,215
3027,69
3028,216
3029,221
3030,131
3031,216
3032,107
3033,208
3034,74
3035,202
3036,87
3037,65
3038,211
3039,66
3040,212
3041,113
3042,209
3043,77
3044,36
3045,73
3046,41
3047,228
3048,217
3049,45
3050,212
3051,42
3052,57
3053,44
3054,216
3055,212
3056,212
3057,138
3058,111
3059,94
3060,94
3061,204
3062,97
3063,120
3064,232
3065,117
3066,143
3067,218
3068,43
3069,215
3070,215
3071,86
3072,179
3073,200
3074,214
3075,110
3076,77
3077,215
3078,219
3079,101
3080,219
3081,67
3082,130
3083,39
3084,40
3085,48
3086,107
3087,113
3088,221
3089,212
3090,79
3091,70
3092,39
3093,60
3094,41
3095,39
3096,61
3097,117
3098,203
3099,220
3100,50
3101,215
3102,180
3103,223
3104,208
3105,211
3106,223
3107,219
3108,217
3109,138
3110,65
3111,65
3112,226
3113,220
3114,212
3115,52
3116,208
3117,217
3118,183
3119,54
3120,205
3121,218
3122,220
3123,210
3124,178
3125,42
3126,201
3127,214
3128,28
3129,39
3130,54
3131,39
3132,216
3133,87
3134,95
3135,187
3136,51
3137,186
3138,211
3139,184
3140,110
3141,68
3142,186
3143,194
3144,220
3145,216
3146,50
3147,215
3148,163
3149,98
3150,113
3151,46
3152,89
3153,216
3154,211
3155,221
3156,176
3157,102
3158,203
3159,216
3160,206
3161,36
3162,36
3163,36
3164,185
3165,166
3166,222
3167,223
3168,49
3169,61
3170,125
3171,43
3172,33
3173,211
3174,211
3175,210
3176,40
3177,47
3178,215
3179,91
3180,98
3181,40
3182,196
3183,39
3184,219
3185,200
3186,162
3187,46
3188,220
3189,215
3190,79
3191,211
3192,84
3193,220
3194,205
3195,176
3196,162
3197,83
3198,221
3199,127
3200,73
3201,63
3202,94
3203,218
3204,108
3205,132
3206,218
3207,203
3208,125
3209,150
3210,216
3211,208
3212,77
3213,77
3214,58
3215,211
3216,92
3217,77
3218,66
3219,213
3220,202
3221,213
3222,206
3223,207
3224,219
3225,223
3226,209
3227,213
3228,64
3229,226
3230,220
3231,212
3232,219
3233,42
3234,218
3235,62
3236,44
3237,43
3238,146
3239,119
3240,140
3241,215
3242,215
3243,221
3244,54
3245,103
3246,81
3247,104
3248,165
3249,222
3250,220
3251,217
3252,185
3253,158
3254,217
3255,216
3256,160
3257,216
3258,204
3259,211
3260,234
3261,36
3262,207
3263,224
3264,224
3265,214
3266,69
3267,164
3268,60
3269,221
3270,209
3271,217
3272,80
3273,216
3274,186
3275,120
3276,148
3277,219
3278,221
3279,35
3280,154
3281,200
3282,40
3283,214
3284,207
3285,174
3286,210
3287,105
3288,56
3289,213
3290,223
3291,206
3292,200
3293,202
3294,127
3295,213
3296,147
3297,216
3298,211
3299,213
3300,155
3301,132
3302,96
3303,44
3304,111
3305,178
3306,113
3307,51
3308,72
3309,98
3310,129
3311,130
3312,130
3313,104
3314,221
3315,221
3316,145
3317,142
3318,38
3319,213
3320,224
3321,216
3322,179
3323,208
3324,189
3325,66
3326,198
3327,74
3328,210
3329,197
3330,214
3331,95
3332,153
3333,85
3334,37
3335,210
3336,193
3337,42
3338,204
3339,142
3340,94
3341,162
3342,70
3343,119
3344,59
3345,108
3346,142
3347,209
3348,85
3349,203
3350,70
3351,41
3352,73
3353,214
3354,44
3355,57
3356,33
3357,215
3358,64
3359,177
3360,212
3361,198
3362,184
3363,204
3364,220
3365,224
3366,224
3367,220
3368,46
3369,207
3370,39
3371,64
3372,39
3373,218
3374,77
3375,50
3376,213
3377,104
3378,103
3379,223
3380,65
3381,56
3382,117
3383,38
3384,131
3385,222
3386,207
3387,219
3388,37
3389,60
3390,158
3391,178
3392,75
3393,90
3394,226
3395,196
3396,207
3397,216
3398,220
3399,45
3400,199
3401,72
3402,57
3403,219
3404,214
3405,223
3406,189
3407,40
3408,208
3409,153
3410,216
3411,206
3412,116
3413,142
3414,211
3415,191
3416,203
3417,203
3418,120
3419,209
3420,216
3421,210
3422,127
3423,202
3424,58
3425,130
3426,197
3427,219
3428,213
3429,181
3430,204
3431,104
3432,94
3433,124
3434,152
3435,134
3436,206
3437,105
3438,85
3439,191
3440,222
3441,213
3442,159
3443,77
3444,210
3445,56
3446,216
3447,196
3448,225
3449,214
3450,213
3451,212
3452,216
3453,100
3454,101
3455,218
3456,42
3457,143
3458,131
3459,209
3460,193
3461,67
3462,205
3463,79
3464,38
3465,90
3466,100
3467,222
3468,222
3469,154
3470,95
3471,202
3472,175
3473,208
3474,84
3475,202
3476,227
3477,223
3478,209
3479,203
3480,60
3481,216
3482,216
3483,206
3484,199
3485,50
3486,35
3487,217
3488,211
3489,219
3490,205
3491,101
3492,63
3493,216
3494,134
3495,212
3496,39
3497,111
3498,208
3499,62
3500,124
3501,146
3502,94
3503,207
3504,206
3505,218
3506,213
3507,195
3508,115
3509,58
3510,145
3511,45
3512,203
3513,166
3514,179
3515,73
3516,212
3517,128
3518,221
3519,221
3520,216
3521,51
3522,223
3523,104
3524,221
3525,217
3526,208
3527,216
3528,208
3529,217
3530,208
3531,208
3532,209
3533,65
3534,218
3535,208
3536,131
3537,164
3538,206
3539,219
3540,66
3541,220
3542,216
3543,207
3544,114
3545,117
3546,79
3547,58
3548,130
3549,226
3550,196
3551,72
3552,71
3553,131
3554,130
3555,205
3556,212
3557,118
3558,185
3559,129
3560,95
3561,214
3562,204
3563,209
3564,88
3565,116
3566,160
3567,213
3568,147
3569,78
3570,78
3571,214
3572,64
3573,179
3574,202
3575,222
3576,69
3577,212
3578,215
3579,117
3580,62
3581,216
3582,223
3583,215
3584,46
3585,181
3586,156
3587,88
3588,207
3589,213
3590,205
3591,203
3592,229
3593,163
3594,216
3595,212
3596,183
3597,223
3598,70
3599,145
3600,212
3601,85
3602,56
3603,141
3604,170
3605,216
3606,211
3607,180
3608,214
3609,217
3610,35
3611,194
3612,222
3613,47
3614,205
3615,100
3616,206
3617,41
3618,213
3619,36
3620,53
3621,53
3622,209
3623,45
3624,172
3625,46
3626,221
3627,82
3628,96
3629,60
3630,214
3631,218
3632,194
3633,171
3634,112
3635,154
3636,127
3637,228
3638,151
3639,167
3640,67
3641,212
3642,161
3643,204
3644,78
3645,144
3646,205
3647,220
3648,216
3649,149
3650,203
3651,60
3652,74
3653,173
3654,217
3655,229
3656,223
3657,49
3658,201
3659,216
3660,138
3661,190
3662,122
3663,146
3664,139
3665,54
3666,57
3667,203
3668,217
3669,84
3670,211
3671,215
3672,215
3673,186
3674,37
3675,199
3676,206
3677,57
3678,114
3679,150
3680,100
3681,45
3682,198
3683,219
3684,104
3685,57
3686,23
3687,221
3688,211
3689,214
3690,72
3691,204
3692,186
3693,65
3694,212
3695,189
3696,27
3697,119
3698,117
3699,204
3700,208
3701,213
3702,69
3703,116
3704,113
3705,222
3706,205
3707,123
3708,74
3709,204
3710,210
3711,224
3712,36
3713,83
3714,131
3715,211
3716,208
3717,209
3718,212
3719,180
3720,127
3721,217
3722,184
3723,184
3724,105
3725,77
3726,219
3727,223
3728,45
3729,111
3730,216
3731,207
3732,87
3733,211
3734,72
3735,62
3736,210
3737,42
3738,90
3739,212
3740,208
3741,53
3742,68
3743,92
3744,112
3745,86
3746,50
3747,143
3748,200
3749,213
3750,64
3751,226
3752,203
3753,72
3754,39
3755,93
3756,179
3757,143
3758,50
3759,216
3760,213
3761,41
3762,201
3763,212
3764,96
3765,69
3766,213
3767,75
3768,187
3769,199
3770,214
3771,69
3772,222
3773,105
3774,105
3775,214
3776,208
3777,213
3778,57
3779,66
3780,219
3781,187
3782,56
3783,203
3784,78
3785,212
3786,69
3787,68
3788,73
3789,207
3790,76
3791,216
3792,212
3793,217
3794,203
3795,210
3796,63
3797,172
3798,218
3799,211
3800,64
3801,210
3802,73
3803,225
3804,215
3805,98
3806,210
3807,214
3808,85
3809,90
3810,216
3811,210
3812,212
3813,218
3814,210
3815,203
3816,215
3817,144
3818,209
3819,198
3820,219
3821,213
3822,45
3823,54
3824,77
3825,77
3826,216
3827,78
3828,187
3829,38
3830,200
3831,156
3832,214
3833,197
3834,50
3835,35
3836,164
3837,171
3838,150
3839,105
3840,181
3841,93
3842,209
3843,52
3844,54
3845,220
3846,170
3847,118
3848,211
3849,214
3850,215
3851,210
3852,149
3853,85
3854,95
3855,209
3856,214
3857,217
3858,225
3859,208
3860,215
3861,134
3862,93
3863,176
3864,215
3865,92
3866,174
3867,212
3868,39
3869,105
3870,196
3871,199
3872,207
3873,109
3874,215
3875,218
3876,218
3877,175
3878,103
3879,213
3880,78
3881,221
3882,210
3883,213
3884,221
3885,212
3886,90
3887,82
3888,127
3889,203
3890,212
3891,211
3892,216
3893,216
3894,222
3895,98
3896,220
3897,212
3898,102
3899,63
3900,161
3901,44
3902,172
3903,213
3904,228
3905,200
3906,49
3907,215
3908,72
3909,37
3910,217
3911,130
3912,212
3913,87
3914,36
3915,65
3916,208
3917,207
3918,50
3919,216
3920,58
3921,211
3922,221
3923,199
3924,40
3925,219
3926,198
3927,198
3928,211
3929,137
3930,72
3931,198
3932,207
3933,209
3934,97
3935,178
3936,191
3937,69
3938,190
3939,219
3940,207
3941,191
3942,217
3943,217
3944,216
3945,98
3946,214
3947,40
3948,53
3949,195
3950,213
3951,214
3952,133
3953,216
3954,205
3955,212
3956,202
3957,218
3958,215
3959,208
3960,229
3961,209
3962,204
3963,100
3964,216
3965,116
3966,180
3967,210
3968,213
3969,209
3970,81
3971,161
3972,210
3973,115
3974,209
3975,221
3976,51
3977,196
3978,196
3979,214
3980,159
3981,125
3982,194
3983,78
3984,92
3985,67
3986,198
3987,133
3988,227
3989,198
3990,204
3991,55
3992,212
3993,39
3994,46
3995,91
3996,224
3997,207
3998,158
3999,204
4000,215
4001,66
4002,88
4003,216
4004,84
4005,35
4006,215
4007,224
4008,69
4009,210
4010,126
4011,75
4012,49
4013,169
4014,187
4015,73
4016,212
4017,220
4018,35
4019,220
4020,203
4021,212
4022,35
4023,204
4024,189
4025,215
4026,208
4027,203
4028,221
4029,221
4030,42
4031,215
4032,115
4033,222
4034,207
4035,103
4036,179
4037,190
4038,118
4039,84
4040,169
4041,200
4042,60
4043,205
4044,89
4045,201
4046,203
4047,220
4048,222
4049,48
4050,178
4051,174
4052,168
4053,208
4054,49
4055,214
4056,44
4057,207
4058,220
4059,206
4060,39
4061,38
4062,220
4063,59
4064,46
4065,199
4066,209
4067,202
4068,212
4069,212
4070,207
4071,63
4072,207
4073,211
4074,123
4075,226
4076,211
4077,215
4078,190
4079,41
4080,41
4081,193
4082,130
4083,215
4084,207
4085,39
4086,174
4087,65
4088,208
4089,199
4090,195
4091,204
4092,106
4093,204
4094,209
4095,217
4096,207
4097,34
4098,65
4099,203
4100,70
4101,68
4102,209
4103,206
4104,123
4105,205
4106,212
4107,150
4108,223
4109,201
4110,202
4111,213
4112,215
4113,208
4114,206
4115,184
4116,196
4117,70
4118,210
4119,56
4120,76
4121,144
4122,211
4123,200
4124,67
4125,41
4126,211
4127,216
4128,171
4129,41
4130,211
4131,211
4132,208
4133,39
4134,91
4135,73
4136,62
4137,214
4138,94
4139,197
4140,199
4141,120
4142,208
4143,197
4144,168
4145,53
4146,46
4147,207
4148,78
4149,215
4150,77
4151,210
4152,213
4153,193
4154,213
4155,197
4156,210
4157,218
4158,193
4159,36
4160,38
4161,212
4162,215
4163,61
4164,199
4165,194
4166,35
4167,104
4168,221
4169,204
4170,194
4171,198
4172,104
4173,36
4174,213
4175,38
4176,50
4177,46
4178,53
4179,207
4180,148
4181,146
4182,146
4183,212
4184,68
4185,90
4186,67
4187,78
4188,209
4189,87
4190,206
4191,72
4192,203
4193,216
4194,212
4195,210
4196,41
4197,95
4198,113
4199,165
4200,220
4201,50
4202,206
4203,189
4204,137
4205,213
4206,218
4207,159
4208,204
4209,210
4210,207
4211,208
4212,199
4213,67
4214,90
4215,39
4216,30
4217,148
4218,205
4219,115
4220,135
4221,177
4222,41
4223,35
4224,198
4225,37
4226,212
4227,199
4228,79
4229,205
4230,206
4231,207
4232,207
4233,207
4234,169
4235,84
4236,36
4237,63
4238,211
4239,47
4240,100
4241,215
4242,66
4243,49
4244,215
4245,53
4246,219
4247,39
4248,207
4249,214
4250,130
4251,213
4252,213
4253,204
4254,217
4255,108
4256,203
4257,86
4258,194
4259,138
4260,216
4261,42
4262,63
4263,207
4264,207
4265,65
4266,126
4267,200
4268,64
4269,217
4270,199
4271,163
4272,199
4273,117
4274,197
4275,210
4276,210
4277,74
4278,67
4279,87
4280,193
4281,92
4282,76
4283,216
4284,216
4285,48
4286,200
4287,50
4288,31
4289,209
4290,209
4291,61
4292,196
4293,196
4294,202
4295,224
4296,80
4297,74
4298,220
4299,209
4300,47
4301,205
4302,192
4303,151
4304,201
4305,209
4306,64
4307,182
4308,209
4309,87
4310,215
4311,81
4312,50
4313,196
4314,43
4315,210
4316,218
4317,199
4318,90
4319,182
4320,202
4321,208
4322,201
4323,97
4324,141
4325,41
4326,75
4327,218
4328,213
4329,210
4330,219
4331,57
4332,50
4333,205
4334,64
4335,64
4336,214
4337,70
4338,194
4339,215
4340,121
4341,40
4342,215
4343,212
4344,211
4345,98
4346,220
4347,38
4348,114
4349,59
4350,208
4351,49
4352,41
4353,71
4354,98
4355,68
4356,221
4357,99
4358,98
4359,41
4360,79
4361,189
4362,80
4363,209
4364,203
4365,210
4366,107
4367,59
4368,215
4369,221
4370,211
4371,35
4372,159
4373,174
4374,195
4375,212
4376,208
4377,93
4378,209
4379,63
4380,210
4381,195
4382,211
4383,196
4384,125
4385,127
4386,127
4387,211
4388,210
4389,103
4390,210
4391,84
4392,222
4393,33
4394,46
4395,212
4396,159
4397,122
4398,221
4399,120
4400,93
4401,76
4402,99
4403,95
4404,89
4405,191
4406,220
4407,203
4408,107
4409,100
4410,213
4411,223
4412,153
4413,212
4414,211
4415,91
4416,208
4417,227
4418,142
4419,180
4420,223
4421,82
4422,197
4423,218
4424,202
4425,55
4426,204
4427,205
4428,217
4429,204
4430,66
4431,60
4432,44
4433,33
4434,86
4435,192
4436,102
4437,102
4438,163
4439,135
4440,215
4441,216
4442,174
4443,208
4444,121
4445,213
4446,218
4447,213
4448,189
4449,211
4450,145
4451,214
4452,158
4453,133
4454,74
4455,118
4456,147
4457,81
4458,49
4459,215
4460,92
4461,204
4462,195
4463,215
4464,207
4465,139
4466,215
4467,46
4468,218
4469,155
4470,203
4471,46
4472,204
4473,85
4474,69
4475,53
4476,40
4477,94
4478,45
4479,75
4480,79
4481,217
4482,81
4483,121
4484,56
4485,82
4486,200
4487,72
4488,72
4489,68
4490,212
4491,67
4492,216
4493,203
4494,209
4495,205
4496,75
4497,41
4498,59
4499,89
4500,75
4501,147
4502,45
4503,36
4504,211
4505,68
4506,60
4507,98
4508,152
4509,52
4510,42
4511,79
4512,207
4513,67
4514,203
4515,208
4516,217
4517,170
4518,210
4519,212
4520,209
4521,64
4522,99
4523,214
4524,123
4525,216
4526,62
4527,48
4528,200
4529,183
4530,133
4531,200
4532,192
4533,59
4534,38
4535,203
4536,39
4537,214
4538,211
4539,211
4540,118
4541,179
4542,204
4543,211
4544,92
4545,188
4546,199
4547,113
4548,207
4549,210
4550,206
4551,119
4552,75
4553,208
4554,224
4555,33
4556,213
4557,190
4558,213
4559,215
4560,197
4561,214
4562,204
4563,198
4564,170
4565,60
4566,205
4567,215
4568,200
4569,39
4570,68
4571,161
4572,202
4573,171
4574,77
4575,148
4576,216
4577,199
4578,26
4579,211
4580,100
4581,73
4582,215
4583,204
4584,85
4585,204
4586,211
4587,215
4588,209
4589,163
4590,163
4591,225
4592,201
4593,142
4594,109
4595,207
4596,106
4597,35
4598,213
4599,208
4600,37
4601,209
4602,52
4603,125
4604,50
4605,213
4606,217
4607,209
4608,206
4609,206
4610,202
4611,92
4612,113
4613,194
4614,209
4615,71
4616,36
4617,102
4618,38
4619,206
4620,205
4621,207
4622,206
4623,204
4624,210
4625,209
4626,164
4627,108
4628,214
4629,217
4630,215
4631,100
4632,139
4633,174
4634,42
4635,207
4636,215
4637,211
4638,217
4639,63
4640,107
4641,107
4642,217
4643,36
4644,217
4645,83
4646,124
4647,67
4648,201
4649,216
4650,39
4651,219
4652,40
4653,106
4654,213
4655,194
4656,215
4657,62
4658,216
4659,216
4660,84
4661,56
4662,208
4663,209
4664,214
4665,216
4666,82
4667,202
4668,219
4669,47
4670,211
4671,119
4672,203
4673,200
4674,107
4675,50
4676,215
4677,218
4678,200
4679,208
4680,204
4681,223
4682,208
4683,205
4684,74
4685,79
4686,61
4687,49
4688,208
4689,100
4690,40
4691,43
4692,43
4693,196
4694,216
4695,197
4696,221
4697,209
4698,216
4699,204
4700,160
4701,42
4702,213
4703,50
4704,205
4705,216
4706,114
4707,224
4708,151
4709,198
4710,212
4711,52
4712,47
4713,190
4714,222
4715,197
4716,99
4717,47
4718,83
4719,143
4720,210
4721,156
4722,83
4723,212
4724,209
4725,96
4726,105
4727,206
4728,194
4729,212
4730,214
4731,208
4732,212
4733,212
4734,212
4735,216
4736,198
4737,34
4738,45
4739,189
4740,163
4741,205
4742,194
4743,194
4744,211
4745,212
4746,79
4747,209
4748,70
4749,30
4750,143
4751,179
4752,211
4753,209
4754,42
4755,62
4756,206
4757,202
4758,208
4759,198
4760,33
4761,64
4762,190
4763,152
4764,210
4765,212
4766,204
4767,200
4768,130
4769,41
4770,212
4771,180
4772,214
4773,210
4774,41
4775,219
4776,101
4777,66
4778,91
4779,203
4780,64
4781,198
4782,199
4783,103
4784,213
4785,195
4786,193
4787,211
4788,216
4789,105
4790,58
4791,47
4792,174
4793,211
4794,211
4795,214
4796,203
4797,215
4798,40
4799,208
4800,204
4801,214
4802,205
4803,33
4804,194
4805,209
4806,170
4807,136
4808,211
4809,206
4810,41
4811,68
4812,36
4813,204
4814,196
4815,211
4816,215
4817,116
4818,60
4819,38
4820,63
4821,73
4822,34
4823,201
4824,105
4825,198
4826,195
4827,185
4828,212
4829,208
4830,213
4831,34
4832,51
4833,192
4834,53
4835,206
4836,205
4837,217
4838,202
4839,188
4840,111
4841,207
4842,83
4843,191
4844,201
4845,201
4846,170
4847,197
4848,204
4849,197
4850,223
4851,196
4852,213
4853,61
4854,201
4855,211
4856,214
4857,51
4858,201
4859,73
4860,106
4861,158
4862,211
4863,66
4864,95
4865,113
4866,147
4867,133
4868,165
4869,202
4870,217
4871,218
4872,91
4873,57
4874,98
4875,70
4876,213
4877,42
4878,100
4879,162
4880,216
4881,201
4882,212
4883,42
4884,66
4885,103
4886,211
4887,116
4888,190
4889,214
4890,204
4891,185
4892,84
4893,206
4894,203
4895,211
4896,211
4897,85
4898,211
4899,209
4900,200
4901,226
4902,171
4903,190
4904,211
4905,29
4906,210
4907,101
4908,120
4909,69
4910,210
4911,200
4912,80
4913,203
4914,205
4915,76
4916,212
4917,47
4918,191
4919,206
4920,206
4921,209
4922,178
4923,219
4924,214
4925,110
4926,74
4927,180
4928,56
4929,187
4930,57
4931,84
4932,213
4933,163
4934,199
4935,199
4936,214
4937,66
4938,193
4939,90
4940,25
4941,50
4942,205
4943,120
4944,190
4945,195
4946,38
4947,38
4948,197
4949,119
4950,216
4951,43
4952,207
4953,91
4954,70
4955,215
4956,212
4957,96
4958,40
4959,205
4960,87
4961,213
4962,61
4963,84
4964,114
4965,119
4966,166
4967,81
4968,98
4969,119
4970,169
4971,207
4972,203
4973,51
4974,207
4975,131
4976,206
4977,210
4978,87
4979,39
4980,198
4981,99
4982,192
4983,95
4984,99
4985,97
4986,201
4987,40
4988,88
4989,211
4990,73
4991,168
4992,92
4993,202
4994,97
4995,88
4996,191
4997,39
4998,39
4999,143
5000,201
5001,203
5002,202
5003,216
5004,105
5005,186
5006,75
5007,202
5008,213
5009,81
5010,45
5011,96
5012,209
5013,100
5014,212
5015,219
5016,214
5017,47
5018,216
5019,212
5020,37
5021,51
5022,194
5023,164
5024,100
5025,114
5026,210
5027,122
5028,125
5029,201
5030,212
5031,197
5032,61
5033,227
5034,192
5035,210
5036,210
5037,144
5038,47
5039,103
5040,46
5041,85
5042,208
5043,45
5044,207
5045,124
5046,119
5047,203
5048,89
5049,89
5050,35
5051,169
5052,93
5053,197
5054,199
5055,218
5056,161
5057,52
5058,197
5059,46
5060,205
5061,75
5062,65
5063,66
5064,79
5065,203
5066,215
5067,36
5068,99
5069,219
5070,199
5071,73
5072,33
5073,235
5074,70
5075,81
5076,45
5077,64
5078,204
5079,128
5080,100
5081,71
5082,177
5083,189
5084,148
5085,214
5086,220
5087,66
5088,201
5089,171
5090,58
5091,213
5092,216
5093,48
5094,51
5095,51
5096,213
5097,167
5098,198
5099,203
5100,203
5101,113
5102,133
5103,109
5104,40
5105,171
5106,205
5107,116
5108,204
5109,139
5110,199
5111,98
5112,212
5113,108
5114,67
5115,195
5116,102
5117,143
5118,90
5119,204
5120,74
5121,97
5122,83
5123,201
5124,195
5125,34
5126,205
5127,46
5128,204
5129,209
5130,177
5131,58
5132,211
5133,63
5134,75
5135,40
5136,206
5137,85
5138,197
5139,202
5140,141
5141,200
5142,191
5143,204
5144,44
5145,202
5146,197
5147,210
5148,209
5149,108
5150,205
5151,205
5152,125
5153,209
5154,71
5155,51
5156,214
5157,187
5158,208
5159,84
5160,213
5161,48
5162,212
5163,97
5164,70
5165,29
5166,70
5167,210
5168,77
5169,202
5170,214
5171,63
5172,69
5173,45
5174,197
5175,45
5176,204
5177,59
5178,163
5179,78
5180,210
5181,174
5182,210
5183,54
5184,199
5185,76
5186,190
5187,210
5188,87
5189,177
5190,214
5191,205
5192,62
5193,186
5194,138
5195,101
5196,222
5197,201
5198,70
5199,83
5200,205
5201,178
5202,178
5203,87
5204,148
5205,194
5206,127
5207,202
5208,209
5209,208
5210,208
5211,207
5212,61
5213,210
5214,85
5215,198
5216,201
5217,76
5218,62
5219,196
5220,207
5221,231
5222,93
5223,219
5224,214
5225,205
5226,142
5227,114
5228,205
5229,189
5230,116
5231,163
5232,69
5233,150
5234,213
5235,109
5236,59
5237,176
5238,228
5239,183
5240,34
5241,207
5242,201
5243,97
5244,205
5245,166
5246,202
5247,205
5248,149
5249,199
5250,179
5251,196
5252,128
5253,128
5254,96
5255,214
5256,202
5257,206
5258,65
5259,192
5260,156
5261,51
5262,206
5263,91
5264,58
5265,154
5266,73
5267,209
5268,38
5269,204
5270,58
5271,163
5272,76
5273,205
5274,138
5275,89
5276,201
5277,197
5278,60
5279,180
5280,208
5281,165
5282,214
5283,213
5284,46
5285,93
5286,29
5287,212
5288,203
5289,88
5290,41
5291,211
5292,197
5293,187
5294,125
5295,108
5296,84
5297,113
5298,102
5299,57
5300,136
5301,107
5302,198
5303,209
5304,209
5305,202
5306,195
5307,201
5308,172
5309,161
5310,192
5311,109
5312,55
5313,150
5314,26
5315,46
5316,65
5317,49
5318,53
5319,216
5320,62
5321,49
5322,48
5323,216
5324,211
5325,204
5326,61
5327,117
5328,43
5329,51
5330,190
5331,43
5332,200
5333,91
5334,39
5335,199
5336,150
5337,199
5338,217
5339,182
5340,208
5341,211
5342,221
5343,44
5344,210
5345,197
5346,178
5347,200
5348,201
5349,56
5350,121
5351,137
5352,65
5353,44
5354,41
5355,41
5356,47
5357,187
5358,128
5359,189
5360,216
5361,29
5362,93
5363,210
5364,198
5365,75
5366,139
5367,190
5368,200
5369,205
5370,199
5371,91
5372,117
5373,23
5374,94
5375,204
5376,50
5377,129
5378,182
5379,33
5380,200
5381,203
5382,203
5383,219
5384,216
5385,92
5386,200
5387,110
5388,36
5389,217
5390,50
5391,61
5392,206
5393,149
5394,60
5395,211
5396,196
5397,207
5398,197
5399,206
5400,78
5401,203
5402,60
5403,62
5404,209
5405,41
5406,41
5407,205
5408,43
5409,197
5410,73
5411,35
5412,96
5413,183
5414,208
5415,134
5416,85
5417,178
5418,165
5419,79
5420,59
5421,212
5422,207
5423,24
5424,72
5425,203
5426,187
5427,38
5428,206
5429,137
5430,194
5431,141
5432,203
5433,202
5434,195
5435,208
5436,83
5437,77
5438,148
5439,215
5440,209
5441,182
5442,205
5443,189
5444,202
5445,203
5446,47
5447,212
5448,196
5449,210
5450,182
5451,66
5452,66
5453,83
5454,201
5455,43
5456,42
5457,42
5458,199
5459,214
5460,60
5461,100
5462,153
5463,202
5464,211
5465,173
5466,205
5467,135
5468,107
5469,94
5470,154
5471,67
5472,51
5473,200
5474,198
5475,196
5476,206
5477,59
5478,180
5479,114
5480,27
5481,209
5482,81
5483,212
5484,46
5485,211
5486,131
5487,195
5488,82
5489,68
5490,216
5491,189
5492,221
5493,83
5494,186
5495,169
5496,56
5497,222
5498,207
5499,213
5500,175
5501,206
5502,204
5503,196
5504,202
5505,122
5506,202
5507,227
5508,227
5509,221
5510,175
5511,61
5512,41
5513,211
5514,207
5515,212
5516,205
5517,200
5518,49
5519,188
5520,199
5521,185
5522,37
5523,210
5524,140
5525,44
5526,94
5527,208
5528,61
5529,213
5530,163
5531,219
5532,207
5533,200
5534,194
5535,43
5536,129
5537,211
5538,119
5539,181
5540,202
5541,43
5542,156
5543,204
5544,110
5545,201
5546,196
5547,195
5548,217
5549,203
5550,214
5551,163
5552,100
5553,209
5554,37
5555,109
5556,209
5557,67
5558,207
5559,207
5560,194
5561,40
5562,77
5563,161
5564,208
5565,203
5566,94
5567,147
5568,195
5569,205
5570,200
5571,207
5572,209
5573,197
5574,209
5575,70
5576,222
5577,212
5578,212
5579,40
5580,75
5581,211
5582,129
5583,160
5584,200
5585,98
5586,123
5587,169
5588,56
5589,120
5590,198
5591,46
5592,155
5593,124
5594,207
5595,37
5596,176
5597,180
5598,48
5599,37
5600,95
5601,206
5602,180
5603,56
5604,186
5605,184
5606,71
5607,204
5608,138
5609,170
5610,170
5611,105
5612,83
5613,206
5614,99
5615,132
5616,44
5617,51
5618,201
5619,198
5620,191
5621,190
5622,123
5623,72
5624,203
5625,78
5626,202
5627,196
5628,206
5629,212
5630,211
5631,63
5632,185
5633,110
5634,73
5635,198
5636,131
5637,207
5638,37
5639,51
5640,202
5641,200
5642,212
5643,203
5644,198
5645,73
5646,199
5647,41
5648,61
5649,203
5650,76
5651,201
5652,203
5653,211
5654,99
5655,207
5656,129
5657,56
5658,196
5659,54
5660,50
5661,50
5662,208
5663,219
5664,213
5665,98
5666,92
5667,191
5668,83
5669,45
5670,207
5671,92
5672,80
5673,144
5674,213
5675,211
5676,201
5677,41
5678,100
5679,74
5680,131
5681,83
5682,69
5683,210
5684,177
5685,208
5686,209
5687,209
5688,117
5689,45
5690,127
5691,49
5692,195
5693,124
5694,173
5695,208
5696,42
5697,201
5698,214
5699,118
5700,116
5701,208
5702,207
5703,165
5704,209
5705,108
5706,203
5707,114
5708,88
5709,40
5710,69
5711,214
5712,214
5713,204
5714,197
5715,50
5716,106
5717,125
5718,65
5719,81
5720,199
5721,209
5722,207
5723,210
5724,67
5725,66
5726,84
5727,102
5728,41
5729,95
5730,119
5731,111
5732,220
5733,34
5734,93
5735,221
5736,137
5737,197
5738,174
5739,124
5740,70
5741,64
5742,60
5743,214
5744,196
5745,181
5746,177
5747,198
5748,193
5749,94
5750,202
5751,194
5752,69
5753,213
5754,33
5755,191
5756,199
5757,209
5758,93
5759,60
5760,56
5761,205
5762,202
5763,202
5764,132
5765,187
5766,199
5767,94
5768,64
5769,214
5770,203
5771,200
5772,46
5773,198
5774,200
5775,211
5776,53
5777,210
5778,200
5779,75
5780,197
5781,88
5782,204
5783,206
5784,218
5785,155
5786,35
5787,194
5788,42
5789,191
5790,163
5791,201
5792,51
5793,54
5794,70
5795,202
5796,201
