,NAME,AGE,RATING,WAGE,POTENTIAL,VALUE,TOTAL
5722,G. Grigalava,27,70,$20K,72,$1.9M,1617
5723,L. Galeano,25,70,$10K,75,$2.2M,1652
5724,Y. Reyna,23,70,$7K,77,$2.8M,1776
5725,J. Penroz,25,70,$6K,70,$2.2M,1766
5726,A. Bonnet,30,70,$7K,70,$1.9M,1753
5727,D. Böde,30,70,$0,70,$0,1761
5728,R. Živković,20,70,$12K,78,$3M,1666
5729,C. Cisneros,23,70,$34K,76,$2.7M,1769
5730,I. Brown,20,70,$54K,80,$3.2M,1790
5731,Arsénio,27,70,$7K,70,$2.1M,1751
5732,Césario Figueirido,33,70,$11K,70,$812K,1666
5733,Ratón,24,70,$6K,75,$1.9M,1111
5734,M. Terrier,20,70,$36K,82,$3.6M,1739
5735,L. Grimi,32,70,$14K,70,$1.1M,1857
5736,C. Jorquera,28,70,$15K,70,$2M,1896
5737,M. Piedrahita,32,70,$4K,70,$1.1M,1947
5738,J. Brownhill,21,70,$26K,79,$3M,1892
5739,D. Dos Santos,20,70,$8K,76,$2.8M,1797
5740,J. Morris,22,70,$7K,78,$3M,1765
5741,Iban Salvador,21,70,$7K,80,$3.2M,1715
5742,J. Bolingi,23,70,$13K,75,$2.7M,1617
5743,L. Krajnc,22,70,$29K,74,$2.2M,1633
5744,D. Peralta,32,70,$2K,70,$1.1M,1581
5745,A. Lusamba,20,70,$19K,79,$3.1M,1759
5746,G. Acosta,28,70,$10K,70,$2M,1860
5747,Z. Touré,27,70,$6K,72,$1.9M,1557
5748,L. Bacuna,25,70,$26K,73,$2.5M,2052
5749,T. Kempe,28,70,$20K,70,$2M,1822
5750,V. Giraldo,31,70,$4K,70,$1.3M,1925
5751,A. Sjöberg,26,70,$7K,73,$2.1M,1406
5752,A. Wooten,27,70,$7K,70,$2.1M,1756
5753,H. Milić,28,70,$40K,70,$1.6M,1830
5754,M. Müller,23,70,$25K,78,$2.2M,1041
5755,K. Vandendriessche,27,70,$13K,70,$2M,1914
5756,J. Lynch,29,70,$22K,70,$1.5M,1680
5757,S. Hagen,31,70,$5K,70,$1.3M,1503
5758,Cristian Herrera,26,70,$9K,71,$2.4M,1728
5759,Sergi Guardiola,26,70,$11K,71,$2.4M,1655
5760,D. Lukebakio,19,70,$22K,80,$3.1M,1639
5761,T. Souček,22,70,$0,79,$0,1765
5762,Pedro Pinto,22,70,$6K,74,$2.2M,1544
5763,Pedro Pinto,22,70,$6K,74,$2.2M,1544
5764,G. Hairemans,25,70,$11K,72,$2.4M,1842
5765,R. Rojas,29,70,$0,70,$0,1963
5766,Jorge Teixeira,30,70,$10K,70,$1.5M,1728
5767,E. Oztumer,26,70,$9K,71,$2.3M,1817
5768,O. Oularé,21,70,$34K,77,$2.9M,1604
5769,T. Sparv,30,70,$22K,70,$1.8M,1809
5770,M. Jurman,27,70,$7K,70,$1.7M,1572
5771,Sebas Coris,24,70,$16K,76,$2.7M,1812
5772,Yang Han Been,25,70,$5K,72,$1.7M,1109
5773,E. Chernov,24,70,$32K,75,$2.2M,1771
5774,S. Magnasco,24,70,$5K,71,$1.9M,1753
5775,A. Kozlov,30,70,$24K,70,$1.4M,1794
5776,H. Jurjus,23,70,$8K,77,$2.1M,1182
5777,Fali,23,70,$7K,76,$2.3M,1687
5778,E. Ambrose,28,70,$7K,70,$1.6M,1693
5779,M. Thuram,19,70,$12K,79,$3M,1615
5780,O. Kakabadze,22,70,$7K,77,$2.4M,1827
5781,J. Álvarez,36,70,$6K,70,$672K,1736
5782,S. Kitsiou,23,70,$8K,74,$2.1M,1877
5783,Eltson Marques,25,70,$16K,70,$1.8M,1508
5784,N. Frey,33,70,$13K,70,$756K,1792
5785,D. Sjölund,34,70,$6K,70,$980K,1817
5786,S. Maguire,23,70,$12K,75,$2.7M,1665
5787,R. Abdullah,23,69,$5K,73,$1.3M,1831
5788,Sivera,20,69,$8K,76,$1.2M,1217
5789,I. Mathew,20,69,$3K,78,$1.8M,1908
5790,R. Bianco,29,69,$4K,69,$1.1M,1847
5791,C. Guzmán,23,69,$6K,74,$1.3M,1771
5792,A. Fink,29,69,$1K,69,$1.2M,1721
5793,J. Chunga,25,69,$2K,72,$1M,1095
5794,C. Lombardi,21,69,$24K,80,$2M,1611
5795,K. Ajer,19,69,$15K,79,$1.6M,1778
5796,J. Larentowicz,33,69,$5K,69,$476K,1806
5797,Aleix Febas,21,69,$57K,78,$1.8M,1790
5798,Villalibre,19,69,$10K,80,$2M,1655
5799,M. van der Maarel,27,69,$8K,69,$980K,1729
5800,J. Lotiès,32,69,$8K,69,$672K,1513
5801,A. Isak,17,69,$20K,84,$2.4M,1586
5802,R. Munsy,27,69,$15K,69,$1.3M,1626
5803,Magno,29,69,$6K,69,$1.2M,1771
5804,N. Bodurov,31,69,$0,69,$0,1664
5805,D. John,22,69,$25K,77,$1.5M,1827
5806,F. Poli,28,69,$3K,69,$952K,1359
5807,H. Grana,32,69,$0,69,$0,1853
5808,V. Fındıklı,26,69,$11K,70,$1.1M,1614
5809,Santi Comesaña,20,69,$6K,75,$1.6M,1712
5810,D. Odoi,29,69,$27K,69,$924K,1908
5811,M. Lukač,31,69,$9K,69,$728K,1108
5812,A. Baroja,27,69,$0,71,$0,1165
5813,I. Rossi,23,69,$11K,76,$1.4M,1783
5814,I. Rossi,23,69,$11K,76,$1.4M,1783
5815,A. Escuderos,29,69,$7K,69,$1.2M,1844
5816,G. Flores,31,69,$18K,69,$784K,1898
5817,P. Lugüercio,35,69,$9K,69,$504K,1778
5818,L. Manyama,26,69,$12K,70,$1.4M,1684
5819,R. Kent,20,69,$42K,80,$2M,1566
5820,S. Morison,33,69,$25K,69,$728K,1713
5821,P. Celeban,32,69,$5K,69,$672K,1749
5822,S. Taniguchi,25,69,$6K,71,$1.2M,1687
5823,L. Hernández,31,69,$9K,69,$784K,1564
5824,J. Rodríguez,24,69,$20K,72,$1.1M,1180
5825,P. Whittingham,32,69,$10K,69,$896K,1851
5826,E. Dilaver,26,69,$7K,71,$1.2M,1734
5827,C. Kum,31,69,$7K,69,$784K,1716
5828,L. Marín,25,69,$7K,71,$1.2M,1773
5829,C. Labrín,26,69,$4K,71,$1.2M,1469
5830,S. Janko,21,69,$15K,74,$1.3M,1747
5831,C. Brannagan,21,69,$6K,78,$1.8M,1881
5832,S. Eduok,23,69,$9K,73,$1.5M,1761
5833,M. Murillo,23,69,$2K,75,$1.6M,1678
5834,H. Diallo,22,69,$10K,77,$1.8M,1608
5835,Peter Torreiro,25,69,$11K,69,$840K,1098
5836,A. Zaseev,29,69,$19K,69,$1.1M,1798
5837,B. Halimi,22,69,$15K,78,$1.8M,1857
5838,Edson Farias,25,69,$7K,70,$1.4M,1738
5839,Igor Madinha,25,69,$18K,69,$1.3M,1841
5840,V. Rüfli,29,69,$12K,69,$896K,1861
5841,C. Martínez Borja,29,69,$2K,69,$1.2M,1636
5842,G. Mera,27,69,$10K,70,$1.1M,1369
5843,M. Kelemen,37,69,$4K,69,$78K,996
5844,Jon Bautista,21,69,$15K,77,$1.8M,1592
5845,F. Hartherz,24,69,$5K,73,$1.3M,1854
5846,G. Chakvetadze,17,69,$8K,85,$2.3M,1654
5847,F. Kiss,26,69,$11K,70,$1.1M,1778
5848,J. Price,24,69,$5K,72,$1.3M,1722
5849,F. Mladenović,25,69,$6K,71,$1.2M,1808
5850,M. Lumb,29,69,$8K,69,$896K,1880
5851,S. Koita,23,69,$12K,75,$1.6M,1606
5852,L. Landre,25,69,$17K,74,$1.3M,1566
5853,P. Filipović,26,69,$11K,70,$1.1M,1752
5854,J. Louis,24,69,$13K,74,$1.6M,1943
5855,V. Bozhikov,29,69,$0,69,$0,1588
5856,Caio Tafarell,25,69,$10K,69,$1M,1800
5857,G. Bellusci,27,69,$3K,69,$980K,1684
5858,D. González,34,69,$2K,69,$476K,1068
5859,G. Mackay-Steven,26,69,$6K,69,$1.3M,1717
5860,I. Höhn,25,69,$14K,72,$1.2M,1551
5861,Luciano Cacheira,33,69,$9K,69,$588K,1063
5862,N. Belmonte,30,69,$3K,69,$868K,1609
5863,A. Vellios,25,69,$20K,70,$1.4M,1703
5864,Y. Toutouh,24,69,$12K,71,$1.5M,1783
5865,Y. Toutouh,24,69,$12K,71,$1.5M,1783
5866,F. Fielding,29,69,$22K,69,$784K,1131
5867,F. Chalov,19,69,$17K,82,$2.2M,1616
5868,R. Maniero,29,69,$4K,69,$1.2M,1611
5869,S. Sarıoğlu,32,69,$11K,69,$644K,1904
5870,F. Seymour,29,69,$9K,69,$1.1M,1898
5871,A. Koura,24,69,$6K,73,$1.6M,1638
5872,F. Schultz,25,69,$9K,72,$1.5M,1838
5873,S. Papagiannopoulos,26,69,$4K,71,$1.2M,1591
5874,S. Dursun,25,69,$10K,71,$1.5M,1620
5875,D. Daube,27,69,$21K,69,$1.2M,1858
5876,L. Veldwijk,25,69,$9K,71,$1.5M,1654
5877,Iñaki Astiz,33,69,$7K,69,$476K,1516
5878,B. Davies,21,69,$7K,78,$1.6M,1675
5879,Iago,25,69,$4K,73,$1.3M,1513
5880,G. Pezzella,19,69,$10K,76,$1.6M,1772
5881,S. Bigalke,27,69,$1K,69,$1.2M,1699
5882,M. Silvestri,26,69,$13K,73,$1.1M,1158
5883,M. Matos,34,69,$9K,69,$616K,1673
5884,Andrea Orlandi,32,69,$4K,69,$924K,1775
5885,P. Kirkevold,26,69,$9K,70,$1.4M,1743
5886,S. Roudet,36,69,$3K,69,$392K,1821
5887,S. Gonther,30,69,$10K,69,$868K,1474
5888,M. Kopczyński,25,69,$7K,72,$1.2M,1725
5889,P. Sotiriou,24,69,$14K,74,$1.6M,1609
5890,João Vigário,21,69,$5K,76,$1.4M,1875
5891,B. Heynen,20,69,$9K,76,$1.6M,1804
5892,Bismark,23,69,$10K,74,$1.6M,1790
5893,R. Gabrielsen,25,69,$5K,72,$1.2M,1711
5894,V. Černý,19,69,$6K,76,$1.6M,1635
5895,V. Salatić,31,69,$16K,69,$784K,1828
5896,V. Sarı,28,69,$10K,69,$952K,1812
5897,S. May,24,69,$6K,74,$1.6M,1714
5898,F. Andrada,23,69,$4K,75,$1.6M,1732
5899,N. Leyes,27,69,$7K,69,$980K,1755
5900,D. Schmidt,30,69,$9K,69,$868K,1638
5901,S. Ciss,28,69,$15K,69,$924K,1863
5902,P. Alikin,33,69,$16K,69,$476K,1521
5903,D. Antolić,27,69,$8K,70,$1.3M,1871
5904,A. Cuadra,19,69,$2K,78,$1.5M,1740
5905,G. Gil Romero,24,69,$9K,73,$1.3M,1797
5906,S. Mockenhaupt,25,69,$1K,73,$1.3M,1529
5907,C. Hountondji,23,69,$5K,74,$1.3M,1490
5908,J. Firpo,20,69,$10K,79,$1.6M,1597
5909,R. Janga,25,69,$15K,71,$1.5M,1602
5910,O. Hernández,24,69,$20K,72,$1.5M,1689
5911,Y. Salmier,24,69,$12K,74,$1.3M,1356
5912,D. Iorfa,22,69,$25K,76,$1.4M,1627
5913,L. Morosini,21,69,$15K,79,$1.9M,1597
5914,Sandeiro Leal,29,69,$11K,69,$1.2M,1821
5915,L. Ibáñez,28,69,$19K,69,$924K,2036
5916,L. Ibáñez,28,69,$19K,69,$924K,2036
5917,Aitor,26,69,$5K,72,$1M,1199
5918,Lee Chan Dong,24,69,$4K,74,$1.3M,1808
5919,T. Ouwejan,21,69,$5K,77,$1.5M,1824
5920,Ranteiro Alves,33,69,$12K,69,$728K,1762
5921,Kim Ho Jun,33,69,$4K,69,$588K,1065
5922,K. Laribi,26,69,$3K,70,$1.4M,1878
5923,Bruno Nascimento,26,69,$7K,71,$1.2M,1562
5924,C. Fauño,25,69,$5K,69,$1M,1768
5925,T. Bradshaw,24,69,$8K,73,$1.6M,1659
5926,T. Browning,23,69,$42K,77,$1.5M,1549
5927,I. Vargić,30,69,$21K,69,$756K,940
5928,D. Bomheuer,26,69,$5K,72,$1.2M,1483
5929,S. Breitkreuz,25,69,$14K,72,$1.2M,1660
5930,Gerard Badía,27,69,$6K,69,$1.2M,1765
5931,K. Rowe,25,69,$6K,70,$1.4M,1922
5932,L. Scaglia,30,69,$4K,69,$840K,1890
5933,J. Archer,24,69,$14K,75,$1.2M,1097
5934,A. El Messaoudi,21,69,$7K,76,$1.4M,1595
5935,S. Pesce,34,69,$3K,69,$560K,1882
5936,L. Gülen,23,69,$8K,73,$1.3M,1654
5937,M. Schwäbe,22,69,$13K,76,$1.2M,1214
5938,Y. Komai,25,69,$4K,69,$1.3M,1813
5939,J. Lundstram,23,69,$24K,72,$1.5M,1806
5940,S. Mendoza,25,69,$12K,72,$1.5M,1756
5941,Núrio,22,69,$8K,75,$1.4M,1774
5942,M. Lüftner,23,69,$11K,75,$1.4M,1472
5943,M. Prietl,25,69,$5K,72,$1.2M,1731
5944,V. Poluyakhtov,27,69,$14K,69,$980K,1709
5945,M. Jacobs,25,69,$9K,70,$1.4M,1888
5946,J. Brillante,24,69,$6K,74,$1.3M,1866
5947,D. Wydra,23,69,$5K,74,$1.3M,1875
5948,J. Angulo,28,69,$2K,69,$924K,1857
5949,Marcelo Toscano,32,69,$4K,69,$952K,1871
5950,A. Frączczak,29,69,$6K,69,$1.2M,1997
5951,S. Bentivoglio,32,69,$4K,69,$896K,1905
5952,A. Rooney,29,69,$7K,69,$1.2M,1663
5953,J. Tinhan,28,69,$17K,69,$1.2M,1782
5954,J. Agudelo,24,69,$6K,72,$1.5M,1719
5955,S. De Petter,31,69,$8K,69,$784K,1797
5956,A. Garofalo,32,69,$4K,69,$644K,1876
5957,Sunny,28,69,$6K,69,$952K,1793
5958,O. Gaber,25,69,$0,72,$0,1837
5959,G. Nauber,25,69,$5K,73,$1.3M,1494
5960,M. Rasmussen,32,69,$6K,69,$952K,1574
5961,C. Rodríguez,35,69,$6K,69,$258K,1864
5962,Vinícius Araújo,24,69,$8K,73,$1.6M,1676
5963,Carvamelinho,33,69,$11K,69,$448K,1828
5964,K. Rosenberry,23,69,$5K,75,$1.4M,1838
5965,R. Oudin,20,69,$6K,77,$1.8M,1704
5966,F. Kaplan,28,69,$10K,70,$952K,1151
5967,F. Kaplan,28,69,$10K,70,$952K,1151
5968,J. Swift,22,69,$20K,77,$1.7M,1899
5969,Jaimosa Cavaco,29,69,$9K,69,$896K,1705
5970,Rui Costa,21,69,$6K,78,$1.9M,1732
5971,G. Teigl,26,69,$15K,70,$1.1M,1852
5972,A. Timofeev,23,69,$27K,78,$1.6M,1770
5973,M. Turner,23,69,$4K,77,$1.3M,1110
5974,Alfaro,30,69,$8K,69,$1.1M,1713
5975,Tyronne,26,69,$6K,69,$1.3M,1732
5976,M. Fares,21,69,$12K,77,$1.5M,1869
5977,C. Techera,25,69,$6K,70,$1.4M,1790
5978,A. Shvets,24,69,$17K,76,$1.4M,1783
5979,H. Takahashi,29,69,$4K,69,$924K,1739
5980,N. Brighenti,27,69,$3K,69,$980K,1563
5981,A. Linde,23,69,$4K,75,$1.2M,1087
5982,A. El Sheikh,24,69,$10K,72,$1.5M,1722
5983,T. Pachonik,22,69,$3K,77,$1.5M,1757
5984,Shin Hyung Min,30,69,$8K,69,$868K,1927
5985,E. Demir,27,69,$8K,69,$980K,1862
5986,M. Danielson,28,69,$5K,70,$1.1M,1441
5987,G. Cvijanović,30,69,$5K,69,$1.1M,1872
5988,Marco Sangalli,25,69,$8K,70,$1.4M,1722
5989,O. Hüsing,24,69,$1K,74,$1.3M,1461
5990,R. Bormuth,21,69,$12K,77,$1.5M,1503
5991,I. Petryak,23,69,$1K,75,$1.6M,1654
5992,Rafael Leão,18,69,$7K,86,$2.4M,1745
5993,B. Martella,24,69,$7K,71,$1.2M,1804
5994,Marquinhos Pedroso,23,69,$5K,75,$1.4M,1757
5995,S. Taylor,31,69,$7K,69,$784K,1527
5996,D. Digard,30,69,$6K,69,$868K,1792
5997,U. Uçar,30,69,$15K,69,$840K,1782
5998,M. Vlap,20,69,$6K,79,$1.9M,1649
5999,R. Rezaeian,27,69,$10K,69,$980K,1928
6000,N. De la Cruz,20,69,$11K,81,$2.1M,1752
6001,Pires,36,69,$5K,69,$420K,1750
6002,J. Blaswich,26,69,$16K,73,$1.1M,1179
6003,A. Al Jebreen,27,69,$22K,69,$980K,1875
6004,Lee Gwang Hyeok,21,69,$7K,76,$1.7M,1778
6005,J. Huth,23,69,$11K,77,$1.3M,1205
6006,Prazeracinho,33,69,$13K,69,$728K,1755
6007,C. Quaner,26,69,$32K,70,$1.4M,1641
6008,Jang Hyeon Soo,25,69,$7K,70,$1.2M,1471
6009,A. Rosati,34,69,$3K,69,$476K,1045
6010,Anderson Lopes,23,69,$6K,74,$1.6M,1719
6011,Pablo Marí,23,69,$6K,75,$1.4M,1502
6012,Y. Orozco,26,69,$1K,69,$1.3M,1682
6013,L. Gregory,28,69,$26K,69,$1.2M,1700
6014,B. Garnica,21,69,$11K,77,$1.7M,1635
6015,D. Arslanagic,24,69,$8K,73,$1.3M,1439
6016,J. Carranza,36,69,$4K,69,$157K,1060
6017,Ángel Martínez,26,69,$7K,70,$1.1M,1802
6018,Ángel Martínez,26,69,$7K,70,$1.1M,1802
6019,G. Åsen,26,69,$4K,70,$1.4M,1850
6020,G. Carabajal,25,69,$9K,70,$1.4M,1631
6021,M. Schuhen,24,69,$3K,75,$1.2M,1229
6022,J. Pitroipa,31,69,$10K,69,$1M,1679
6023,B. Tashchy,23,69,$5K,75,$1.6M,1701
6024,J. Moya,24,69,$3K,73,$1.3M,1435
6025,Kim Kwang Suk,34,69,$7K,69,$364K,1628
6026,T. Schick,27,69,$15K,69,$1.2M,1841
6027,M. Gersbeck,22,69,$1K,77,$1.3M,1133
6028,J. Ávila,25,69,$3K,73,$1.3M,1401
6029,L. Kleinheisler,23,69,$0,76,$0,1843
6030,Carpio,33,69,$6K,69,$448K,1815
6031,N. Cherubin,30,69,$16K,69,$868K,1344
6032,C. Cáceda,25,69,$0,74,$0,961
6033,F. Daprelà,26,69,$6K,70,$1.1M,1820
6034,J. Baffo,24,69,$13K,73,$1.3M,1493
6035,B. Başdaş,27,69,$9K,69,$980K,1486
6036,Ewerton,24,69,$5K,72,$1.3M,1756
6037,A. Al Faraj,28,69,$23K,69,$952K,1788
6038,V. van Crooij,21,69,$7K,77,$1.7M,1702
6039,R. Windbichler,26,69,$6K,71,$1.2M,1629
6040,F. Nájera,33,69,$2K,69,$476K,1462
6041,R. Raldes,36,69,$0,69,$0,1566
6042,Gedson Fernandes,18,69,$5K,86,$2.4M,1951
6043,Y. Wissa,20,69,$5K,79,$1.9M,1695
6044,A. Saldívar,27,69,$11K,69,$784K,1155
6045,M. Đurić,27,69,$30K,69,$1.3M,1568
6046,G. Maluleka,28,69,$1K,69,$1.2M,1921
6047,L. Nangis,23,69,$4K,74,$1.6M,1630
6048,T. Jurić,25,69,$9K,72,$1.5M,1718
6049,F. Scaglia,25,69,$2K,71,$1.2M,1456
6050,G. Hubert,23,69,$9K,73,$1.1M,1079
6051,B. Meling,22,69,$5K,74,$1.3M,1792
6052,M. Scozzarella,29,69,$4K,69,$1.1M,1929
6053,M. Dijks,24,69,$7K,72,$1.2M,1721
6054,M. Hassen,22,69,$12K,76,$1.2M,1105
6055,K. Barbarouses,27,69,$8K,69,$1.2M,1735
6056,Mario Fernández,29,69,$6K,70,$924K,1122
6057,E. Bergström,24,69,$21K,74,$1.3M,1526
6058,Mário Felgueiras,30,69,$6K,69,$756K,1182
6059,P. Bråtveit,21,69,$2K,76,$1.2M,1123
6060,Ricardo Lopes,26,69,$8K,69,$1.3M,1764
6061,W. López,31,69,$3K,69,$784K,1740
6062,C. Nasuti,34,69,$6K,69,$364K,1563
6063,C. N'Doye,31,69,$19K,69,$1M,1917
6064,Nando,23,69,$13K,77,$1.7M,1702
6065,E. Cobbaut,19,69,$5K,79,$1.6M,1667
6066,Diogo Dalot,18,69,$4K,85,$2.2M,1797
6067,P. Małecki,28,69,$6K,69,$1.2M,1891
6068,B. Ogbeche,32,69,$9K,69,$952K,1692
6069,B. Ogbeche,32,69,$9K,69,$952K,1692
6070,M. Pintilii,32,69,$0,69,$0,1864
6071,A. Corzo,28,69,$0,69,$0,1676
6072,A. Barkok,19,69,$10K,84,$2.5M,1783
6073,M. Watkins,26,69,$23K,69,$1.3M,1667
6074,A. Camargo,28,69,$4K,69,$1.2M,1777
6075,Léo Jabá,18,69,$14K,84,$2.4M,1608
6076,S. Kulovits,34,69,$5K,69,$364K,1795
6077,B. Behrendt,25,69,$5K,71,$1.2M,1699
6078,D. Ortiz,24,69,$8K,74,$1.3M,1408
6079,P. Mahlambi,19,69,$0,85,$0,1689
6080,G. Kagelmacher,29,69,$10K,69,$924K,1832
6081,M. Pospíšil,26,69,$8K,70,$1.4M,1818
6082,R. Jérez,31,69,$1K,69,$728K,1076
6083,A. Aguerre,26,69,$8K,73,$1.1M,1141
6084,L. Steele,32,69,$21K,69,$672K,1226
6085,A. Castro,22,69,$12K,78,$1.8M,1886
6086,D. Bernhardt,31,69,$1K,69,$728K,1038
6087,A. Sánchez,30,69,$6K,69,$756K,1016
6088,Paulo Fajarda,25,69,$10K,69,$1M,1531
6089,B. Nouri,30,69,$4K,69,$1.1M,1759
6090,D. Høegh,26,69,$7K,70,$1.1M,1543
6091,Reginaldo,33,69,$3K,69,$728K,1884
6092,L. Ajorque,23,69,$5K,74,$1.6M,1502
6093,T. Hiariej,28,69,$3K,69,$952K,1890
6094,B. Mkhwanazi,27,69,$0,71,$0,1550
6095,Hélder Ferreira,20,69,$6K,77,$1.7M,1693
6096,T. Pellenard,23,69,$20K,74,$1.3M,1691
6097,Rafael Costa,26,69,$5K,70,$1.4M,1800
6098,A. Nouri,27,69,$4K,69,$980K,1810
6099,Rubén Miño,28,69,$5K,70,$952K,1209
6100,L. Domínguez,27,69,$3K,70,$1.1M,1491
6101,M. Pellizzer,28,69,$2K,70,$1.1M,1475
6102,Ripa,31,69,$6K,69,$784K,1752
6103,M. Cremonesi,29,69,$10K,69,$924K,1427
6104,Galán,31,69,$7K,69,$784K,1758
6105,M. Hernández,34,69,$5K,69,$476K,1049
6106,Sandro Maceira,25,69,$11K,69,$1.3M,1839
6107,R. Ibarra,22,69,$5K,73,$1.5M,1758
6108,Gaztañaga,26,69,$7K,71,$1.2M,1610
6109,R. Holmes,30,69,$28K,69,$1.1M,1747
6110,R. Murawski,35,69,$3K,69,$280K,1828
6111,J. Murillo,24,69,$10K,72,$1.5M,1738
6112,G. Zigoni,26,69,$54K,70,$1.4M,1621
6113,J. Corona,26,69,$14K,70,$1.4M,1915
6114,L. Néry,26,69,$4K,70,$1.1M,1796
6115,W. Bruin,27,69,$7K,69,$1.3M,1690
6116,J. Kosecki,26,69,$6K,69,$1.3M,1743
6117,J. Glad,20,69,$4K,77,$1.5M,1517
6118,V. Fayzulin,31,69,$31K,69,$784K,1805
6119,M. Maolida,18,69,$23K,85,$2.4M,1597
6120,M. Maolida,18,69,$23K,85,$2.4M,1597
6121,D. Gordon,32,69,$1K,69,$672K,1663
6122,G. Maniatis,30,69,$9K,69,$868K,1899
6123,M. El Hamdaoui,32,69,$9K,69,$952K,1698
6124,L. Murphy,27,69,$23K,69,$1.2M,1848
6125,P. Paye,27,69,$4K,69,$980K,1692
6126,G. Ndy Assembe,31,69,$4K,69,$728K,1037
6127,I. Ouali,29,69,$11K,69,$1.2M,1786
6128,B. Holman,33,69,$5K,69,$728K,1892
6129,K. Haggui,33,69,$10K,69,$476K,1446
6130,R. Aït-Atmane,24,69,$6K,73,$1.3M,1725
6131,D. Pollet,28,69,$12K,69,$1.2M,1629
6132,Sandro Manoel,28,69,$14K,69,$952K,1861
6133,A. Ömür,18,69,$11K,77,$1.6M,1750
6134,C. Dielna,29,69,$6K,69,$924K,1732
6135,D. Zabala,25,69,$9K,70,$1.4M,1753
6136,S. Gleeson,28,69,$13K,69,$952K,1929
6137,J. Arboleda,27,69,$1K,69,$980K,1734
6138,J. Hobbs,28,69,$18K,69,$952K,1493
6139,S. Yatabaré,28,69,$18K,69,$1.2M,1901
6140,Borja Viguera,30,69,$9K,69,$1.1M,1697
6141,J. Lowe,25,69,$17K,71,$1.2M,1785
6142,P. Weihrauch,23,69,$5K,74,$1.6M,1752
6143,M. Abero,27,69,$9K,69,$980K,1804
6144,E. Castillo,30,69,$29K,69,$840K,1896
6145,A. Robic,31,69,$6K,69,$1M,1732
6146,P. Klandt,33,69,$12K,69,$588K,1067
6147,E. Manu,23,69,$12K,73,$1.5M,1759
6148,Ruiz de Galarreta,23,69,$5K,75,$1.4M,1783
6149,M. Pereira Lage,20,69,$4K,77,$1.7M,1764
6150,Mauro Júnior,18,69,$6K,83,$2.4M,1649
6151,C. Solly,26,69,$9K,70,$1.1M,1751
6152,B. Megyeri,27,69,$7K,71,$952K,1099
6153,Joelinton,20,69,$18K,76,$1.7M,1780
6154,A. Zabolotnyy,26,69,$37K,72,$1.5M,1720
6155,L. Cavallini,24,69,$6K,74,$1.6M,1633
6156,M. Jakobsen,31,69,$8K,69,$784K,1724
6157,B. Mansilla,20,69,$10K,84,$2.6M,1664
6158,A. Ngamukol,29,69,$8K,69,$1.2M,1678
6159,Simy,25,69,$10K,72,$1.5M,1515
6160,D. Wheater,30,69,$21K,69,$868K,1515
6161,Lee Dong Gook,38,69,$7K,69,$420K,1636
6162,N. Thomsen,24,69,$12K,72,$1.5M,1705
6163,Marlinito Dias,33,69,$14K,69,$476K,1653
6164,Y. Corona,29,69,$14K,69,$924K,1808
6165,Z. Korcsmár,28,69,$17K,69,$952K,1618
6166,A. Crescenzi,25,69,$3K,71,$1.2M,1717
6167,D. Hernández,24,69,$2K,71,$1.5M,1692
6168,A. Šporar,23,69,$0,76,$0,1686
6169,D. Man,18,69,$0,83,$0,1677
6170,J. Jantscher,28,69,$15K,69,$1.2M,1765
6171,J. Jantscher,28,69,$15K,69,$1.2M,1765
6172,U. Matić,27,69,$14K,69,$1.2M,1888
6173,A. Ashraf,26,69,$0,69,$0,1723
6174,N. Giani,31,69,$3K,69,$784K,1531
6175,M. Curado,22,69,$6K,75,$1.4M,1474
6176,A. Aldrete,29,69,$18K,69,$896K,1889
6177,Toribio,28,69,$8K,69,$952K,1774
6178,A. Milošević,25,69,$6K,72,$1.2M,1690
6179,L. Ceballos,30,69,$8K,69,$840K,1804
6180,I. Estrada,33,69,$33K,69,$448K,1839
6181,Alson Botelho,29,69,$11K,69,$924K,1694
6182,J. van den Berg,31,69,$21K,69,$784K,1826
6183,J. Arp,17,69,$14K,89,$2.4M,1531
6184,N. Onuoha,30,69,$17K,69,$868K,1660
6185,I. Konaté,18,69,$16K,83,$2.2M,1510
6186,M. Gómez,23,69,$3K,75,$1.6M,1848
6187,L. Klünter,21,69,$15K,80,$1.8M,1676
6188,Vitolo,33,69,$6K,69,$476K,1862
6189,A. Farrell,25,69,$5K,70,$1.1M,1820
6190,Wei Shihao,22,69,$0,77,$0,1713
6191,R. Sukuta-Pasu,27,69,$6K,69,$1.3M,1682
6192,N. Dussenne,25,69,$8K,72,$1.2M,1479
6193,Luís Leal,30,69,$13K,69,$1.1M,1625
6194,Filipe Ferreira,26,69,$7K,69,$1M,1841
6195,Wellington,24,69,$6K,72,$1.5M,1651
6196,Y. Kermorgant,35,69,$19K,69,$532K,1853
6197,Iriome,30,69,$6K,69,$1.1M,1736
6198,J. Cortés,27,69,$14K,69,$1.2M,1923
6199,E. Buendía,20,69,$12K,76,$1.7M,1805
6200,A. Batalla,21,69,$7K,79,$1.5M,1110
6201,Borja Domínguez,25,69,$8K,72,$1.5M,1759
6202,F. Campbell,29,69,$10K,69,$1.2M,1776
6203,M. Yatabaré,31,69,$13K,69,$1.1M,1671
6204,J. Robinson,23,69,$15K,74,$1.3M,1760
