,Composure
2998,18
2999,53
3000,71
3001,54
3002,68
3003,73
3004,74
3005,74
3006,69
3007,37
3008,78
3009,78
3010,66
3011,79
3012,69
3013,70
3014,62
3015,56
3016,73
3017,67
3018,69
3019,72
3020,63
3021,66
3022,62
3023,66
3024,72
3025,73
3026,62
3027,50
3028,68
3029,60
3030,68
3031,63
3032,75
3033,58
3034,68
3035,69
3036,75
3037,61
3038,68
3039,69
3040,66
3041,58
3042,62
3043,67
3044,21
3045,67
3046,36
3047,78
3048,66
3049,41
3050,57
3051,41
3052,70
3053,49
3054,60
3055,62
3056,67
3057,73
3058,75
3059,71
3060,71
3061,73
3062,71
3063,72
3064,79
3065,72
3066,71
3067,70
3068,38
3069,67
3070,68
3071,72
3072,62
3073,74
3074,72
3075,62
3076,67
3077,65
3078,74
3079,68
3080,69
3081,75
3082,70
3083,27
3084,23
3085,59
3086,70
3087,69
3088,58
3089,70
3090,63
3091,68
3092,51
3093,64
3094,26
3095,70
3096,74
3097,63
3098,77
3099,68
3100,25
3101,65
3102,86
3103,70
3104,67
3105,65
3106,71
3107,69
3108,70
3109,64
3110,78
3111,78
3112,71
3113,66
3114,70
3115,77
3116,76
3117,71
3118,65
3119,41
3120,64
3121,67
3122,70
3123,66
3124,84
3125,16
3126,64
3127,68
3128,60
3129,29
3130,62
3131,43
3132,59
3133,83
3134,66
3135,77
3136,50
3137,73
3138,70
3139,70
3140,76
3141,71
3142,74
3143,70
3144,63
3145,71
3146,43
3147,69
3148,73
3149,76
3150,71
3151,41
3152,63
3153,65
3154,55
3155,72
3156,71
3157,70
3158,75
3159,58
3160,67
3161,29
3162,29
3163,33
3164,64
3165,67
3166,66
3167,65
3168,39
3169,70
3170,73
3171,68
3172,56
3173,52
3174,62
3175,53
3176,60
3177,60
3178,76
3179,73
3180,72
3181,66
3182,72
3183,60
3184,65
3185,65
3186,58
3187,71
3188,65
3189,66
3190,63
3191,39
3192,72
3193,76
3194,62
3195,71
3196,69
3197,65
3198,55
3199,67
3200,71
3201,66
3202,72
3203,57
3204,64
3205,67
3206,46
3207,67
3208,70
3209,70
3210,60
3211,70
3212,78
3213,78
3214,69
3215,70
3216,67
3217,73
3218,65
3219,64
3220,65
3221,69
3222,64
3223,71
3224,64
3225,71
3226,74
3227,68
3228,63
3229,67
3230,63
3231,70
3232,58
3233,70
3234,56
3235,61
3236,67
3237,68
3238,78
3239,59
3240,72
3241,73
3242,70
3243,70
3244,73
3245,60
3246,69
3247,73
3248,65
3249,70
3250,70
3251,71
3252,75
3253,78
3254,76
3255,62
3256,69
3257,75
3258,66
3259,64
3260,71
3261,32
3262,57
3263,70
3264,70
3265,58
3266,73
3267,75
3268,71
3269,68
3270,71
3271,72
3272,70
3273,82
3274,75
3275,70
3276,66
3277,64
3278,67
3279,43
3280,68
3281,60
3282,64
3283,70
3284,67
3285,66
3286,68
3287,76
3288,65
3289,66
3290,66
3291,73
3292,62
3293,78
3294,70
3295,68
3296,63
3297,67
3298,66
3299,62
3300,59
3301,68
3302,66
3303,48
3304,82
3305,71
3306,65
3307,68
3308,60
3309,56
3310,70
3311,63
3312,71
3313,64
3314,68
3315,68
3316,67
3317,70
3318,50
3319,63
3320,63
3321,64
3322,68
3323,71
3324,80
3325,69
3326,64
3327,76
3328,72
3329,72
3330,65
3331,63
3332,67
3333,74
3334,33
3335,65
3336,64
3337,33
3338,63
3339,71
3340,71
3341,73
3342,65
3343,64
3344,68
3345,73
3346,69
3347,58
3348,66
3349,72
3350,77
3351,27
3352,55
3353,70
3354,32
3355,52
3356,53
3357,62
3358,71
3359,64
3360,63
3361,65
3362,65
3363,75
3364,65
3365,67
3366,67
3367,61
3368,48
3369,65
3370,58
3371,58
3372,50
3373,81
3374,65
3375,65
3376,64
3377,75
3378,74
3379,73
3380,67
3381,72
3382,72
3383,65
3384,61
3385,65
3386,68
3387,74
3388,60
3389,65
3390,74
3391,67
3392,74
3393,65
3394,65
3395,70
3396,74
3397,70
3398,67
3399,62
3400,66
3401,61
3402,69
3403,69
3404,75
3405,69
3406,68
3407,31
3408,68
3409,67
3410,65
3411,69
3412,66
3413,74
3414,66
3415,69
3416,50
3417,50
3418,46
3419,65
3420,71
3421,62
3422,70
3423,66
3424,64
3425,63
3426,74
3427,75
3428,67
3429,68
3430,66
3431,68
3432,81
3433,70
3434,64
3435,72
3436,77
3437,69
3438,64
3439,68
3440,70
3441,59
3442,70
3443,70
3444,64
3445,66
3446,68
3447,68
3448,76
3449,58
3450,69
3451,54
3452,67
3453,69
3454,69
3455,62
3456,37
3457,81
3458,62
3459,69
3460,70
3461,62
3462,62
3463,64
3464,24
3465,76
3466,64
3467,70
3468,70
3469,67
3470,70
3471,71
3472,62
3473,68
3474,53
3475,71
3476,66
3477,72
3478,64
3479,62
3480,63
3481,76
3482,59
3483,65
3484,53
3485,72
3486,40
3487,63
3488,65
3489,62
3490,69
3491,71
3492,73
3493,70
3494,71
3495,54
3496,35
3497,65
3498,73
3499,67
3500,64
3501,66
3502,65
3503,67
3504,69
3505,74
3506,69
3507,76
3508,55
3509,65
3510,65
3511,73
3512,69
3513,68
3514,66
3515,80
3516,61
3517,69
3518,64
3519,64
3520,70
3521,71
3522,63
3523,66
3524,62
3525,55
3526,62
3527,64
3528,67
3529,68
3530,60
3531,67
3532,63
3533,71
3534,65
3535,68
3536,74
3537,70
3538,71
3539,66
3540,66
3541,63
3542,76
3543,44
3544,65
3545,66
3546,75
3547,68
3548,70
3549,68
3550,64
3551,68
3552,74
3553,71
3554,51
3555,62
3556,68
3557,81
3558,69
3559,64
3560,55
3561,66
3562,72
3563,69
3564,69
3565,63
3566,75
3567,64
3568,73
3569,64
3570,64
3571,64
3572,72
3573,74
3574,68
3575,65
3576,73
3577,74
3578,73
3579,65
3580,48
3581,61
3582,69
3583,66
3584,27
3585,63
3586,71
3587,68
3588,68
3589,71
3590,70
3591,60
3592,65
3593,70
3594,71
3595,72
3596,54
3597,61
3598,60
3599,67
3600,61
3601,71
3602,72
3603,70
3604,64
3605,59
3606,68
3607,77
3608,68
3609,69
3610,41
3611,67
3612,66
3613,27
3614,60
3615,60
3616,63
3617,49
3618,63
3619,67
3620,67
3621,67
3622,69
3623,40
3624,71
3625,73
3626,73
3627,62
3628,65
3629,56
3630,68
3631,43
3632,71
3633,74
3634,77
3635,73
3636,68
3637,64
3638,71
3639,66
3640,65
3641,45
3642,64
3643,75
3644,66
3645,68
3646,72
3647,66
3648,76
3649,72
3650,65
3651,70
3652,69
3653,72
3654,55
3655,61
3656,38
3657,63
3658,67
3659,54
3660,63
3661,75
3662,62
3663,73
3664,64
3665,74
3666,60
3667,73
3668,63
3669,66
3670,62
3671,70
3672,70
3673,68
3674,66
3675,70
3676,67
3677,69
3678,65
3679,62
3680,59
3681,57
3682,67
3683,76
3684,67
3685,64
3686,62
3687,69
3688,52
3689,75
3690,66
3691,69
3692,74
3693,62
3694,69
3695,65
3696,58
3697,77
3698,72
3699,76
3700,54
3701,66
3702,73
3703,72
3704,61
3705,65
3706,62
3707,73
3708,72
3709,68
3710,60
3711,67
3712,44
3713,57
3714,73
3715,62
3716,73
3717,63
3718,76
3719,67
3720,81
3721,73
3722,68
3723,68
3724,63
3725,75
3726,69
3727,73
3728,49
3729,72
3730,71
3731,63
3732,65
3733,63
3734,69
3735,51
3736,70
3737,73
3738,70
3739,55
3740,65
3741,64
3742,68
3743,69
3744,59
3745,77
3746,54
3747,60
3748,64
3749,70
3750,66
3751,60
3752,72
3753,74
3754,65
3755,70
3756,56
3757,67
3758,66
3759,71
3760,63
3761,23
3762,73
3763,64
3764,66
3765,69
3766,65
3767,51
3768,67
3769,76
3770,58
3771,66
3772,65
3773,69
3774,69
3775,75
3776,72
3777,61
3778,77
3779,71
3780,69
3781,64
3782,69
3783,69
3784,71
3785,70
3786,64
3787,68
3788,65
3789,68
3790,69
3791,68
3792,72
3793,75
3794,71
3795,60
3796,75
3797,67
3798,63
3799,65
3800,77
3801,49
3802,69
3803,60
3804,73
3805,77
3806,65
3807,69
3808,64
3809,73
3810,58
3811,65
3812,51
3813,78
3814,60
3815,68
3816,68
3817,66
3818,71
3819,69
3820,64
3821,61
3822,47
3823,60
3824,61
3825,61
3826,65
3827,69
3828,60
3829,43
3830,60
3831,68
3832,47
3833,62
3834,58
3835,44
3836,56
3837,62
3838,64
3839,71
3840,70
3841,71
3842,63
3843,64
3844,70
3845,70
3846,64
3847,67
3848,68
3849,72
3850,68
3851,74
3852,72
3853,71
3854,67
3855,68
3856,62
3857,68
3858,67
3859,63
3860,70
3861,47
3862,62
3863,65
3864,69
3865,76
3866,72
3867,69
3868,34
3869,71
3870,71
3871,70
3872,67
3873,68
3874,68
3875,74
3876,74
3877,71
3878,69
3879,50
3880,68
3881,68
3882,76
3883,65
3884,70
3885,71
3886,70
3887,64
3888,49
3889,73
3890,66
3891,67
3892,66
3893,62
3894,68
3895,68
3896,59
3897,63
3898,70
3899,69
3900,70
3901,46
3902,65
3903,67
3904,63
3905,63
3906,25
3907,65
3908,71
3909,55
3910,77
3911,69
3912,63
3913,63
3914,21
3915,69
3916,59
3917,69
3918,33
3919,70
3920,42
3921,62
3922,67
3923,76
3924,69
3925,44
3926,75
3927,75
3928,68
3929,62
3930,67
3931,68
3932,76
3933,66
3934,72
3935,73
3936,68
3937,73
3938,65
3939,68
3940,62
3941,73
3942,61
3943,67
3944,68
3945,75
3946,69
3947,60
3948,66
3949,74
3950,70
3951,63
3952,71
3953,62
3954,66
3955,64
3956,66
3957,66
3958,76
3959,74
3960,64
3961,70
3962,62
3963,68
3964,71
3965,68
3966,83
3967,74
3968,58
3969,62
3970,65
3971,65
3972,65
3973,75
3974,75
3975,54
3976,21
3977,76
3978,76
3979,67
3980,68
3981,71
3982,63
3983,70
3984,70
3985,65
3986,72
3987,64
3988,66
3989,62
3990,65
3991,37
3992,68
3993,47
3994,67
3995,69
3996,65
3997,62
3998,68
3999,72
4000,56
4001,69
4002,69
4003,65
4004,65
4005,17
4006,66
4007,64
4008,65
4009,65
4010,70
4011,65
4012,61
4013,62
4014,75
4015,73
4016,67
4017,74
4018,49
4019,70
4020,73
4021,70
4022,26
4023,77
4024,63
4025,67
4026,63
4027,65
4028,66
4029,66
4030,38
4031,73
4032,74
4033,68
4034,66
4035,68
4036,77
4037,74
4038,63
4039,74
4040,69
4041,64
4042,70
4043,67
4044,69
4045,65
4046,56
4047,64
4048,69
4049,29
4050,75
4051,65
4052,63
4053,61
4054,46
4055,58
4056,33
4057,55
4058,63
4059,64
4060,58
4061,52
4062,67
4063,59
4064,48
4065,59
4066,72
4067,63
4068,71
4069,62
4070,66
4071,66
4072,70
4073,77
4074,61
4075,72
4076,64
4077,71
4078,72
4079,69
4080,69
4081,72
4082,80
4083,61
4084,71
4085,18
4086,64
4087,66
4088,70
4089,72
4090,69
4091,64
4092,69
4093,67
4094,66
4095,77
4096,65
4097,50
4098,64
4099,69
4100,65
4101,63
4102,72
4103,68
4104,67
4105,65
4106,54
4107,66
4108,64
4109,76
4110,69
4111,51
4112,58
4113,75
4114,71
4115,63
4116,64
4117,66
4118,53
4119,62
4120,66
4121,65
4122,76
4123,70
4124,72
4125,60
4126,61
4127,66
4128,68
4129,55
4130,66
4131,66
4132,75
4133,64
4134,68
4135,69
4136,64
4137,67
4138,72
4139,61
4140,71
4141,68
4142,62
4143,74
4144,73
4145,64
4146,68
4147,59
4148,46
4149,62
4150,62
4151,74
4152,67
4153,69
4154,60
4155,66
4156,68
4157,64
4158,63
4159,20
4160,46
4161,70
4162,64
4163,63
4164,72
4165,67
4166,52
4167,45
4168,72
4169,67
4170,63
4171,72
4172,64
4173,68
4174,63
4175,47
4176,28
4177,29
4178,30
4179,63
4180,68
4181,67
4182,67
4183,56
4184,64
4185,62
4186,66
4187,64
4188,68
4189,74
4190,67
4191,64
4192,62
4193,68
4194,73
4195,73
4196,69
4197,76
4198,65
4199,70
4200,70
4201,62
4202,65
4203,69
4204,65
4205,62
4206,64
4207,76
4208,63
4209,68
4210,72
4211,58
4212,62
4213,70
4214,63
4215,43
4216,38
4217,55
4218,65
4219,64
4220,68
4221,75
4222,36
4223,63
4224,65
4225,66
4226,64
4227,71
4228,80
4229,66
4230,63
4231,67
4232,73
4233,73
4234,72
4235,70
4236,28
4237,39
4238,63
4239,66
4240,70
4241,58
4242,66
4243,26
4244,67
4245,65
4246,49
4247,64
4248,67
4249,67
4250,66
4251,65
4252,62
4253,50
4254,49
4255,68
4256,65
4257,70
4258,74
4259,65
4260,59
4261,70
4262,66
4263,63
4264,66
4265,64
4266,75
4267,72
4268,75
4269,56
4270,68
4271,65
4272,65
4273,66
4274,73
4275,59
4276,62
4277,62
4278,70
4279,72
4280,68
4281,70
4282,75
4283,61
4284,61
4285,67
4286,69
4287,64
4288,36
4289,71
4290,75
4291,27
4292,72
4293,73
4294,62
4295,68
4296,70
4297,72
4298,69
4299,65
4300,56
4301,61
4302,70
4303,66
4304,60
4305,58
4306,72
4307,66
4308,71
4309,76
4310,70
4311,67
4312,72
4313,70
4314,59
4315,58
4316,71
4317,76
4318,63
4319,68
4320,64
4321,66
4322,70
4323,62
4324,70
4325,41
4326,72
4327,56
4328,55
4329,64
4330,65
4331,64
4332,65
4333,66
4334,63
4335,63
4336,75
4337,51
4338,64
4339,61
4340,62
4341,53
4342,70
4343,72
4344,65
4345,66
4346,66
4347,45
4348,57
4349,58
4350,62
4351,40
4352,55
4353,69
4354,69
4355,71
4356,64
4357,70
4358,53
4359,40
4360,66
4361,70
4362,70
4363,60
4364,70
4365,70
4366,70
4367,72
4368,59
4369,58
4370,67
4371,40
4372,75
4373,67
4374,65
4375,59
4376,68
4377,60
4378,78
4379,72
4380,65
4381,72
4382,70
4383,77
4384,81
4385,64
4386,64
4387,68
4388,57
4389,69
4390,60
4391,58
4392,71
4393,37
4394,57
4395,59
4396,72
4397,66
4398,69
4399,65
4400,68
4401,62
4402,68
4403,64
4404,54
4405,70
4406,67
4407,48
4408,64
4409,76
4410,66
4411,64
4412,63
4413,63
4414,75
4415,65
4416,62
4417,66
4418,59
4419,74
4420,76
4421,61
4422,63
4423,64
4424,71
4425,70
4426,63
4427,60
4428,62
4429,62
4430,77
4431,78
4432,65
4433,65
4434,78
4435,69
4436,72
4437,72
4438,64
4439,69
4440,63
4441,64
4442,65
4443,55
4444,68
4445,62
4446,62
4447,64
4448,73
4449,72
4450,78
4451,59
4452,73
4453,77
4454,62
4455,68
4456,60
4457,65
4458,62
4459,62
4460,72
4461,42
4462,64
4463,52
4464,67
4465,52
4466,72
4467,51
4468,63
4469,76
4470,72
4471,33
4472,61
4473,69
4474,66
4475,32
4476,72
4477,64
4478,60
4479,65
4480,59
4481,64
4482,57
4483,74
4484,35
4485,79
4486,66
4487,61
4488,61
4489,66
4490,64
4491,66
4492,66
4493,55
4494,65
4495,81
4496,70
4497,25
4498,70
4499,68
4500,72
4501,74
4502,46
4503,71
4504,60
4505,72
4506,64
4507,71
4508,77
4509,66
4510,43
4511,69
4512,71
4513,61
4514,66
4515,53
4516,68
4517,71
4518,56
4519,73
4520,65
4521,71
4522,71
4523,67
4524,69
4525,72
4526,65
4527,40
4528,65
4529,61
4530,64
4531,68
4532,60
4533,74
4534,40
4535,63
4536,65
4537,42
4538,67
4539,67
4540,69
4541,72
4542,59
4543,74
4544,65
4545,68
4546,79
4547,62
4548,67
4549,78
4550,69
4551,60
4552,65
4553,63
4554,67
4555,30
4556,70
4557,69
4558,63
4559,61
4560,74
4561,58
4562,68
4563,69
4564,72
4565,60
4566,63
4567,64
4568,70
4569,54
4570,66
4571,68
4572,71
4573,75
4574,67
4575,75
4576,55
4577,66
4578,62
4579,65
4580,68
4581,44
4582,63
4583,63
4584,73
4585,70
4586,61
4587,71
4588,62
4589,68
4590,68
4591,69
4592,59
4593,68
4594,65
4595,72
4596,76
4597,35
4598,71
4599,74
4600,21
4601,50
4602,65
4603,67
4604,31
4605,69
4606,54
4607,61
4608,69
4609,61
4610,69
4611,70
4612,64
4613,73
4614,62
4615,65
4616,55
4617,67
4618,12
4619,69
4620,68
4621,67
4622,63
4623,65
4624,66
4625,69
4626,68
4627,68
4628,53
4629,65
4630,62
4631,74
4632,78
4633,74
4634,51
4635,61
4636,72
4637,53
4638,62
4639,67
4640,60
4641,60
4642,71
4643,70
4644,62
4645,64
4646,65
4647,69
4648,61
4649,52
4650,69
4651,62
4652,37
4653,68
4654,66
4655,71
4656,64
4657,70
4658,65
4659,62
4660,71
4661,68
4662,61
4663,67
4664,66
4665,67
4666,60
4667,59
4668,68
4669,66
4670,72
4671,60
4672,75
4673,73
4674,70
4675,22
4676,45
4677,58
4678,64
4679,75
4680,69
4681,64
4682,62
4683,68
4684,68
4685,63
4686,26
4687,66
4688,60
4689,60
4690,67
4691,52
4692,52
4693,70
4694,66
4695,66
4696,44
4697,71
4698,74
4699,65
4700,68
4701,26
4702,67
4703,40
4704,66
4705,68
4706,64
4707,64
4708,69
4709,67
4710,63
4711,50
4712,57
4713,78
4714,62
4715,72
4716,71
4717,57
4718,73
4719,68
4720,67
4721,69
4722,70
4723,62
4724,59
4725,67
4726,74
4727,73
4728,80
4729,70
4730,66
4731,64
4732,65
4733,45
4734,64
4735,63
4736,68
4737,16
4738,50
4739,71
4740,75
4741,69
4742,73
4743,73
4744,62
4745,66
4746,67
4747,75
4748,69
4749,61
4750,70
4751,70
4752,67
4753,60
4754,28
4755,68
4756,57
4757,64
4758,66
4759,65
4760,54
4761,62
4762,73
4763,72
4764,69
4765,61
4766,70
4767,75
4768,70
4769,19
4770,62
4771,74
4772,66
4773,67
4774,34
4775,74
4776,59
4777,76
4778,70
4779,66
4780,62
4781,64
4782,61
4783,62
4784,76
4785,76
4786,66
4787,74
4788,66
4789,75
4790,64
4791,44
4792,72
4793,72
4794,72
4795,61
4796,75
4797,71
4798,39
4799,69
4800,58
4801,71
4802,60
4803,28
4804,66
4805,71
4806,66
4807,62
4808,57
4809,73
4810,53
4811,73
4812,45
4813,66
4814,59
4815,64
4816,71
4817,69
4818,64
4819,47
4820,67
4821,64
4822,71
4823,61
4824,72
4825,79
4826,65
4827,70
4828,71
4829,67
4830,60
4831,50
4832,67
4833,70
4834,64
4835,69
4836,59
4837,69
4838,76
4839,64
4840,62
4841,65
4842,58
4843,67
4844,66
4845,66
4846,69
4847,70
4848,68
4849,69
4850,67
4851,59
4852,60
4853,64
4854,65
4855,62
4856,60
4857,61
4858,67
4859,70
4860,71
4861,67
4862,68
4863,57
4864,76
4865,58
4866,58
4867,57
4868,62
4869,66
4870,63
4871,66
4872,64
4873,59
4874,72
4875,62
4876,57
4877,16
4878,64
4879,65
4880,63
4881,63
4882,66
4883,28
4884,66
4885,73
4886,64
4887,68
4888,70
4889,58
4890,56
4891,71
4892,60
4893,64
4894,55
4895,63
4896,63
4897,76
4898,58
4899,67
4900,68
4901,67
4902,72
4903,68
4904,60
4905,59
4906,56
4907,63
4908,79
4909,20
4910,61
4911,65
4912,55
4913,62
4914,70
4915,62
4916,68
4917,44
4918,69
4919,58
4920,72
4921,65
4922,69
4923,74
4924,65
4925,71
4926,71
4927,63
4928,59
4929,64
4930,67
4931,70
4932,44
4933,65
4934,59
4935,70
4936,60
4937,59
4938,60
4939,54
4940,35
4941,24
4942,60
4943,61
4944,66
4945,60
4946,45
4947,45
4948,63
4949,75
4950,51
4951,63
4952,69
4953,67
4954,64
4955,78
4956,70
4957,71
4958,30
4959,70
4960,63
4961,60
4962,72
4963,60
4964,70
4965,62
4966,64
4967,70
4968,68
4969,66
4970,72
4971,50
4972,60
4973,55
4974,55
4975,57
4976,65
4977,59
4978,67
4979,42
4980,55
4981,51
4982,67
4983,64
4984,63
4985,58
4986,73
4987,26
4988,66
4989,72
4990,23
4991,69
4992,69
4993,56
4994,50
4995,62
4996,67
4997,48
4998,48
4999,67
5000,47
5001,64
5002,39
5003,60
5004,67
5005,63
5006,69
5007,71
5008,72
5009,67
5010,49
5011,63
5012,67
5013,74
5014,59
5015,62
5016,63
5017,60
5018,62
5019,58
5020,50
5021,23
5022,62
5023,69
5024,76
5025,61
5026,48
5027,64
5028,67
5029,64
5030,64
5031,67
5032,67
5033,67
5034,72
5035,61
5036,62
5037,71
5038,66
5039,60
5040,68
5041,62
5042,59
5043,75
5044,72
5045,73
5046,60
5047,52
5048,68
5049,68
5050,58
5051,67
5052,74
5053,58
5054,63
5055,68
5056,60
5057,37
5058,61
5059,25
5060,62
5061,66
5062,57
5063,67
5064,63
5065,61
5066,63
5067,36
5068,59
5069,84
5070,56
5071,60
5072,52
5073,63
5074,56
5075,71
5076,67
5077,62
5078,63
5079,71
5080,65
5081,74
5082,71
5083,67
5084,73
5085,64
5086,56
5087,70
5088,66
5089,71
5090,68
5091,65
5092,39
5093,27
5094,24
5095,31
5096,57
5097,68
5098,72
5099,56
5100,56
5101,67
5102,64
5103,69
5104,29
5105,57
5106,63
5107,60
5108,53
5109,58
5110,64
5111,63
5112,61
5113,66
5114,74
5115,65
5116,48
5117,67
5118,73
5119,69
5120,72
5121,75
5122,69
5123,63
5124,72
5125,51
5126,67
5127,21
5128,64
5129,66
5130,67
5131,68
5132,75
5133,59
5134,69
5135,37
5136,71
5137,66
5138,62
5139,64
5140,72
5141,62
5142,69
5143,66
5144,60
5145,62
5146,62
5147,61
5148,29
5149,66
5150,65
5151,65
5152,59
5153,47
5154,74
5155,32
5156,70
5157,75
5158,57
5159,63
5160,77
5161,68
5162,64
5163,56
5164,68
5165,31
5166,76
5167,70
5168,50
5169,65
5170,65
5171,68
5172,62
5173,48
5174,67
5175,30
5176,63
5177,60
5178,71
5179,74
5180,54
5181,73
5182,70
5183,65
5184,63
5185,60
5186,66
5187,66
5188,67
5189,63
5190,66
5191,67
5192,68
5193,69
5194,66
5195,64
5196,58
5197,64
5198,72
5199,62
5200,73
5201,67
5202,67
5203,65
5204,68
5205,65
5206,74
5207,69
5208,72
5209,65
5210,70
5211,67
5212,65
5213,61
5214,72
5215,67
5216,65
5217,65
5218,63
5219,62
5220,44
5221,65
5222,59
5223,63
5224,69
5225,68
5226,68
5227,64
5228,63
5229,74
5230,68
5231,64
5232,69
5233,65
5234,58
5235,65
5236,61
5237,71
5238,43
5239,74
5240,40
5241,67
5242,73
5243,65
5244,67
5245,68
5246,63
5247,61
5248,73
5249,48
5250,64
5251,66
5252,66
5253,66
5254,67
5255,57
5256,63
5257,72
5258,53
5259,72
5260,59
5261,23
5262,69
5263,64
5264,60
5265,59
5266,67
5267,70
5268,32
5269,69
5270,62
5271,64
5272,58
5273,59
5274,71
5275,58
5276,53
5277,65
5278,63
5279,67
5280,66
5281,72
5282,63
5283,60
5284,33
5285,61
5286,52
5287,69
5288,58
5289,67
5290,54
5291,67
5292,75
5293,80
5294,70
5295,58
5296,68
5297,66
5298,62
5299,30
5300,62
5301,66
5302,62
5303,63
5304,63
5305,64
5306,63
5307,64
5308,55
5309,62
5310,68
5311,64
5312,24
5313,64
5314,54
5315,57
5316,70
5317,49
5318,59
5319,28
5320,53
5321,60
5322,23
5323,67
5324,38
5325,75
5326,67
5327,69
5328,68
5329,60
5330,38
5331,36
5332,57
5333,63
5334,22
5335,66
5336,62
5337,67
5338,72
5339,70
5340,64
5341,67
5342,42
5343,68
5344,54
5345,66
5346,70
5347,65
5348,50
5349,65
5350,56
5351,67
5352,62
5353,63
5354,32
5355,32
5356,66
5357,64
5358,68
5359,72
5360,47
5361,30
5362,63
5363,60
5364,70
5365,48
5366,60
5367,69
5368,66
5369,37
5370,55
5371,69
5372,68
5373,42
5374,64
5375,65
5376,70
5377,58
5378,68
5379,32
5380,62
5381,66
5382,68
5383,64
5384,60
5385,62
5386,66
5387,55
5388,20
5389,65
5390,74
5391,70
5392,67
5393,68
5394,49
5395,67
5396,64
5397,65
5398,68
5399,53
5400,66
5401,57
5402,82
5403,67
5404,53
5405,38
5406,38
5407,59
5408,24
5409,70
5410,67
5411,66
5412,65
5413,61
5414,62
5415,67
5416,63
5417,65
5418,67
5419,60
5420,71
5421,67
5422,71
5423,45
5424,60
5425,70
5426,65
5427,21
5428,74
5429,68
5430,62
5431,78
5432,71
5433,62
5434,66
5435,66
5436,72
5437,60
5438,69
5439,59
5440,72
5441,80
5442,70
5443,64
5444,65
5445,63
5446,67
5447,69
5448,67
5449,54
5450,62
5451,75
5452,59
5453,67
5454,67
5455,76
5456,29
5457,29
5458,64
5459,71
5460,79
5461,69
5462,60
5463,61
5464,64
5465,70
5466,67
5467,64
5468,68
5469,65
5470,61
5471,61
5472,19
5473,68
5474,71
5475,76
5476,55
5477,65
5478,69
5479,60
5480,30
5481,62
5482,75
5483,71
5484,31
5485,68
5486,58
5487,47
5488,68
5489,68
5490,62
5491,59
5492,58
5493,61
5494,64
5495,74
5496,67
5497,67
5498,56
5499,45
5500,72
5501,64
5502,74
5503,62
5504,51
5505,67
5506,61
5507,67
5508,67
5509,60
5510,75
5511,62
5512,65
5513,61
5514,65
5515,63
5516,66
5517,62
5518,24
5519,74
5520,50
5521,74
5522,71
5523,59
5524,66
5525,25
5526,73
5527,66
5528,71
5529,51
5530,71
5531,68
5532,68
5533,50
5534,68
5535,66
5536,48
5537,67
5538,62
5539,74
5540,52
5541,42
5542,75
5543,70
5544,68
5545,66
5546,73
5547,63
5548,66
5549,61
5550,67
5551,64
5552,62
5553,63
5554,47
5555,67
5556,59
5557,68
5558,60
5559,60
5560,78
5561,72
5562,67
5563,71
5564,65
5565,65
5566,66
5567,68
5568,50
5569,58
5570,74
5571,67
5572,71
5573,62
5574,60
5575,65
5576,73
5577,66
5578,66
5579,42
5580,65
5581,64
5582,63
5583,55
5584,71
5585,66
5586,77
5587,76
5588,60
5589,67
5590,47
5591,65
5592,67
5593,69
5594,71
5595,50
5596,65
5597,70
5598,64
5599,40
5600,65
5601,57
5602,67
5603,58
5604,67
5605,62
5606,66
5607,64
5608,69
5609,60
5610,60
5611,63
5612,66
5613,57
5614,63
5615,72
5616,33
5617,31
5618,50
5619,64
5620,66
5621,65
5622,70
5623,68
5624,42
5625,60
5626,52
5627,71
5628,73
5629,73
5630,66
5631,70
5632,64
5633,66
5634,72
5635,68
5636,72
5637,64
5638,39
5639,57
5640,63
5641,71
5642,65
5643,68
5644,76
5645,67
5646,68
5647,40
5648,67
5649,63
5650,62
5651,61
5652,73
5653,68
5654,71
5655,74
5656,72
5657,24
5658,64
5659,31
5660,71
5661,71
5662,62
5663,62
5664,46
5665,72
5666,66
5667,54
5668,74
5669,51
5670,68
5671,66
5672,61
5673,63
5674,66
5675,77
5676,62
5677,31
5678,60
5679,68
5680,71
5681,67
5682,67
5683,70
5684,59
5685,69
5686,61
5687,66
5688,72
5689,59
5690,69
5691,66
5692,67
5693,73
5694,59
5695,50
5696,58
5697,63
5698,73
5699,65
5700,66
5701,55
5702,69
5703,70
5704,63
5705,63
5706,70
5707,60
5708,73
5709,36
5710,59
5711,66
5712,66
5713,61
5714,67
5715,67
5716,63
5717,55
5718,77
5719,74
5720,78
5721,62
5722,64
5723,56
5724,64
5725,77
5726,67
5727,80
5728,60
5729,57
5730,64
5731,67
5732,60
5733,37
5734,67
5735,63
5736,70
5737,70
5738,69
5739,69
5740,60
5741,60
5742,63
5743,63
5744,73
5745,63
5746,61
5747,61
5748,69
5749,67
5750,65
5751,63
5752,67
5753,61
5754,26
5755,70
5756,67
5757,68
5758,60
5759,57
5760,68
5761,68
5762,58
5763,58
5764,71
5765,67
5766,61
5767,76
5768,61
5769,72
5770,57
5771,60
5772,42
5773,60
5774,70
5775,71
5776,29
5777,59
5778,66
5779,62
5780,58
5781,69
5782,62
5783,60
5784,75
5785,73
5786,67
5787,63
5788,27
5789,67
5790,66
5791,59
5792,73
5793,23
5794,59
5795,72
5796,68
