,Balance
2998,46
2999,56
3000,74
3001,64
3002,68
3003,63
3004,67
3005,62
3006,71
3007,34
3008,81
3009,81
3010,63
3011,55
3012,54
3013,46
3014,75
3015,58
3016,53
3017,61
3018,66
3019,60
3020,69
3021,86
3022,82
3023,71
3024,68
3025,46
3026,53
3027,44
3028,65
3029,51
3030,80
3031,71
3032,59
3033,76
3034,76
3035,68
3036,79
3037,77
3038,60
3039,59
3040,66
3041,76
3042,75
3043,66
3044,17
3045,91
3046,65
3047,66
3048,59
3049,48
3050,73
3051,20
3052,70
3053,47
3054,42
3055,68
3056,85
3057,77
3058,52
3059,45
3060,45
3061,77
3062,81
3063,57
3064,65
3065,85
3066,84
3067,62
3068,44
3069,76
3070,64
3071,70
3072,88
3073,67
3074,72
3075,77
3076,82
3077,33
3078,55
3079,70
3080,69
3081,89
3082,83
3083,52
3084,39
3085,78
3086,74
3087,74
3088,81
3089,68
3090,57
3091,80
3092,53
3093,48
3094,53
3095,58
3096,65
3097,59
3098,71
3099,48
3100,51
3101,66
3102,69
3103,64
3104,67
3105,68
3106,73
3107,75
3108,54
3109,81
3110,65
3111,65
3112,68
3113,66
3114,83
3115,84
3116,38
3117,73
3118,68
3119,49
3120,67
3121,56
3122,32
3123,67
3124,80
3125,38
3126,91
3127,48
3128,64
3129,45
3130,76
3131,58
3132,61
3133,77
3134,84
3135,68
3136,42
3137,64
3138,54
3139,77
3140,78
3141,65
3142,83
3143,78
3144,49
3145,60
3146,39
3147,53
3148,68
3149,74
3150,85
3151,31
3152,80
3153,71
3154,80
3155,69
3156,65
3157,87
3158,69
3159,51
3160,70
3161,38
3162,38
3163,49
3164,51
3165,85
3166,65
3167,38
3168,37
3169,91
3170,87
3171,66
3172,53
3173,72
3174,71
3175,56
3176,45
3177,77
3178,48
3179,79
3180,63
3181,47
3182,75
3183,47
3184,62
3185,87
3186,78
3187,65
3188,75
3189,56
3190,92
3191,51
3192,79
3193,66
3194,63
3195,68
3196,82
3197,82
3198,71
3199,64
3200,75
3201,54
3202,78
3203,78
3204,71
3205,84
3206,48
3207,70
3208,78
3209,63
3210,39
3211,60
3212,76
3213,76
3214,62
3215,64
3216,82
3217,86
3218,58
3219,57
3220,55
3221,69
3222,70
3223,66
3224,79
3225,52
3226,87
3227,70
3228,69
3229,56
3230,72
3231,69
3232,58
3233,65
3234,66
3235,75
3236,80
3237,58
3238,76
3239,75
3240,69
3241,63
3242,63
3243,87
3244,84
3245,76
3246,64
3247,75
3248,86
3249,58
3250,60
3251,67
3252,65
3253,91
3254,63
3255,53
3256,60
3257,64
3258,71
3259,70
3260,47
3261,50
3262,58
3263,50
3264,50
3265,56
3266,89
3267,86
3268,67
3269,75
3270,85
3271,41
3272,58
3273,41
3274,84
3275,84
3276,82
3277,46
3278,79
3279,12
3280,74
3281,79
3282,43
3283,70
3284,75
3285,72
3286,70
3287,76
3288,75
3289,55
3290,61
3291,66
3292,75
3293,81
3294,79
3295,67
3296,68
3297,62
3298,76
3299,47
3300,88
3301,87
3302,61
3303,44
3304,73
3305,65
3306,77
3307,65
3308,73
3309,78
3310,44
3311,69
3312,88
3313,46
3314,67
3315,67
3316,71
3317,72
3318,30
3319,63
3320,54
3321,62
3322,55
3323,71
3324,60
3325,82
3326,73
3327,72
3328,75
3329,44
3330,58
3331,54
3332,66
3333,75
3334,29
3335,48
3336,59
3337,53
3338,72
3339,85
3340,78
3341,85
3342,77
3343,83
3344,66
3345,90
3346,74
3347,54
3348,72
3349,74
3350,75
3351,60
3352,91
3353,40
3354,38
3355,67
3356,22
3357,44
3358,65
3359,75
3360,64
3361,85
3362,84
3363,69
3364,49
3365,57
3366,57
3367,34
3368,71
3369,67
3370,28
3371,37
3372,43
3373,63
3374,83
3375,55
3376,72
3377,49
3378,90
3379,56
3380,77
3381,70
3382,74
3383,36
3384,68
3385,61
3386,51
3387,68
3388,50
3389,68
3390,75
3391,70
3392,81
3393,69
3394,65
3395,84
3396,74
3397,66
3398,64
3399,66
3400,77
3401,59
3402,65
3403,57
3404,59
3405,76
3406,63
3407,40
3408,80
3409,81
3410,58
3411,74
3412,77
3413,72
3414,57
3415,69
3416,76
3417,76
3418,63
3419,61
3420,72
3421,61
3422,92
3423,69
3424,65
3425,85
3426,80
3427,66
3428,74
3429,69
3430,59
3431,71
3432,76
3433,69
3434,87
3435,63
3436,66
3437,74
3438,76
3439,86
3440,54
3441,50
3442,78
3443,59
3444,77
3445,69
3446,63
3447,76
3448,54
3449,45
3450,81
3451,65
3452,66
3453,79
3454,59
3455,64
3456,38
3457,67
3458,69
3459,75
3460,85
3461,64
3462,42
3463,68
3464,64
3465,39
3466,93
3467,55
3468,55
3469,86
3470,71
3471,75
3472,65
3473,65
3474,66
3475,81
3476,41
3477,56
3478,79
3479,61
3480,75
3481,71
3482,34
3483,73
3484,64
3485,61
3486,31
3487,80
3488,80
3489,60
3490,67
3491,92
3492,74
3493,64
3494,81
3495,57
3496,55
3497,72
3498,75
3499,36
3500,68
3501,67
3502,60
3503,75
3504,62
3505,58
3506,50
3507,72
3508,87
3509,63
3510,70
3511,56
3512,81
3513,75
3514,73
3515,78
3516,56
3517,74
3518,50
3519,50
3520,68
3521,66
3522,74
3523,80
3524,66
3525,60
3526,43
3527,62
3528,79
3529,67
3530,66
3531,63
3532,53
3533,61
3534,48
3535,66
3536,78
3537,83
3538,79
3539,55
3540,84
3541,47
3542,67
3543,46
3544,68
3545,65
3546,68
3547,44
3548,87
3549,67
3550,68
3551,60
3552,73
3553,91
3554,89
3555,68
3556,54
3557,81
3558,83
3559,71
3560,77
3561,76
3562,73
3563,69
3564,70
3565,90
3566,70
3567,77
3568,59
3569,60
3570,60
3571,50
3572,66
3573,69
3574,64
3575,61
3576,74
3577,69
3578,33
3579,72
3580,72
3581,57
3582,56
3583,67
3584,45
3585,66
3586,94
3587,69
3588,69
3589,67
3590,68
3591,56
3592,62
3593,68
3594,54
3595,73
3596,70
3597,64
3598,63
3599,90
3600,82
3601,59
3602,73
3603,74
3604,69
3605,57
3606,58
3607,60
3608,66
3609,62
3610,31
3611,60
3612,53
3613,31
3614,68
3615,85
3616,80
3617,47
3618,32
3619,45
3620,71
3621,71
3622,71
3623,56
3624,89
3625,70
3626,73
3627,82
3628,74
3629,59
3630,72
3631,38
3632,83
3633,78
3634,69
3635,75
3636,77
3637,68
3638,75
3639,84
3640,53
3641,40
3642,79
3643,68
3644,90
3645,70
3646,64
3647,74
3648,72
3649,78
3650,58
3651,30
3652,47
3653,69
3654,33
3655,56
3656,44
3657,43
3658,54
3659,52
3660,90
3661,68
3662,93
3663,72
3664,77
3665,60
3666,58
3667,69
3668,62
3669,75
3670,41
3671,52
3672,52
3673,72
3674,71
3675,77
3676,69
3677,71
3678,65
3679,79
3680,69
3681,37
3682,71
3683,44
3684,84
3685,84
3686,41
3687,86
3688,43
3689,55
3690,58
3691,57
3692,69
3693,46
3694,77
3695,66
3696,51
3697,72
3698,71
3699,69
3700,33
3701,77
3702,74
3703,77
3704,64
3705,74
3706,57
3707,51
3708,72
3709,46
3710,71
3711,51
3712,45
3713,68
3714,81
3715,60
3716,59
3717,53
3718,46
3719,78
3720,70
3721,55
3722,74
3723,74
3724,70
3725,51
3726,62
3727,70
3728,69
3729,84
3730,63
3731,73
3732,41
3733,72
3734,68
3735,45
3736,72
3737,70
3738,88
3739,83
3740,68
3741,68
3742,72
3743,63
3744,78
3745,78
3746,92
3747,60
3748,68
3749,83
3750,39
3751,60
3752,85
3753,74
3754,91
3755,87
3756,73
3757,79
3758,59
3759,57
3760,63
3761,34
3762,82
3763,63
3764,61
3765,72
3766,53
3767,76
3768,70
3769,73
3770,57
3771,68
3772,49
3773,67
3774,67
3775,62
3776,74
3777,80
3778,51
3779,65
3780,62
3781,62
3782,34
3783,75
3784,71
3785,78
3786,64
3787,36
3788,45
3789,53
3790,74
3791,70
3792,48
3793,62
3794,70
3795,53
3796,64
3797,66
3798,51
3799,85
3800,91
3801,59
3802,72
3803,56
3804,79
3805,84
3806,41
3807,74
3808,50
3809,70
3810,78
3811,70
3812,63
3813,69
3814,63
3815,54
3816,48
3817,82
3818,69
3819,67
3820,67
3821,43
3822,42
3823,71
3824,85
3825,85
3826,81
3827,75
3828,72
3829,43
3830,69
3831,73
3832,48
3833,64
3834,74
3835,37
3836,76
3837,89
3838,78
3839,66
3840,72
3841,65
3842,65
3843,79
3844,42
3845,53
3846,85
3847,64
3848,60
3849,58
3850,55
3851,54
3852,70
3853,81
3854,62
3855,55
3856,64
3857,54
3858,62
3859,57
3860,60
3861,86
3862,62
3863,83
3864,79
3865,77
3866,75
3867,55
3868,37
3869,77
3870,69
3871,78
3872,70
3873,76
3874,61
3875,57
3876,57
3877,55
3878,89
3879,69
3880,68
3881,81
3882,58
3883,59
3884,56
3885,47
3886,58
3887,88
3888,68
3889,71
3890,51
3891,50
3892,69
3893,66
3894,33
3895,74
3896,50
3897,64
3898,66
3899,65
3900,73
3901,51
3902,73
3903,49
3904,61
3905,43
3906,57
3907,58
3908,65
3909,41
3910,65
3911,67
3912,62
3913,90
3914,64
3915,60
3916,60
3917,60
3918,54
3919,76
3920,56
3921,44
3922,58
3923,66
3924,83
3925,70
3926,70
3927,70
3928,68
3929,72
3930,88
3931,79
3932,64
3933,84
3934,84
3935,71
3936,86
3937,69
3938,76
3939,88
3940,59
3941,67
3942,65
3943,54
3944,75
3945,60
3946,72
3947,54
3948,69
3949,57
3950,34
3951,77
3952,78
3953,63
3954,62
3955,63
3956,68
3957,63
3958,43
3959,65
3960,54
3961,65
3962,55
3963,79
3964,66
3965,73
3966,88
3967,63
3968,62
3969,49
3970,82
3971,78
3972,32
3973,90
3974,61
3975,65
3976,61
3977,54
3978,54
3979,73
3980,77
3981,85
3982,53
3983,51
3984,74
3985,64
3986,73
3987,71
3988,41
3989,57
3990,74
3991,88
3992,69
3993,42
3994,33
3995,62
3996,55
3997,57
3998,76
3999,51
4000,48
4001,74
4002,71
4003,61
4004,73
4005,39
4006,67
4007,68
4008,56
4009,31
4010,91
4011,76
4012,42
4013,76
4014,63
4015,60
4016,64
4017,42
4018,40
4019,52
4020,34
4021,74
4022,46
4023,77
4024,87
4025,69
4026,42
4027,61
4028,77
4029,77
4030,42
4031,77
4032,66
4033,62
4034,73
4035,73
4036,52
4037,78
4038,52
4039,54
4040,73
4041,64
4042,57
4043,71
4044,80
4045,32
4046,56
4047,84
4048,76
4049,45
4050,88
4051,73
4052,56
4053,71
4054,49
4055,62
4056,42
4057,60
4058,52
4059,72
4060,57
4061,43
4062,69
4063,81
4064,63
4065,59
4066,58
4067,48
4068,71
4069,59
4070,74
4071,64
4072,71
4073,59
4074,72
4075,49
4076,72
4077,80
4078,82
4079,70
4080,70
4081,55
4082,62
4083,62
4084,69
4085,58
4086,71
4087,77
4088,68
4089,84
4090,59
4091,59
4092,74
4093,71
4094,58
4095,55
4096,61
4097,38
4098,74
4099,55
4100,70
4101,83
4102,63
4103,74
4104,76
4105,71
4106,63
4107,73
4108,55
4109,70
4110,53
4111,60
4112,34
4113,54
4114,69
4115,80
4116,64
4117,73
4118,57
4119,66
4120,86
4121,78
4122,75
4123,71
4124,64
4125,48
4126,53
4127,40
4128,67
4129,42
4130,68
4131,68
4132,62
4133,49
4134,72
4135,62
4136,65
4137,70
4138,72
4139,80
4140,78
4141,78
4142,66
4143,74
4144,68
4145,73
4146,81
4147,75
4148,52
4149,66
4150,68
4151,86
4152,60
4153,69
4154,62
4155,82
4156,69
4157,62
4158,67
4159,42
4160,53
4161,56
4162,62
4163,79
4164,69
4165,65
4166,47
4167,44
4168,57
4169,68
4170,69
4171,64
4172,74
4173,58
4174,34
4175,45
4176,55
4177,56
4178,42
4179,60
4180,77
4181,70
4182,70
4183,56
4184,79
4185,79
4186,58
4187,69
4188,70
4189,67
4190,64
4191,72
4192,60
4193,48
4194,50
4195,67
4196,66
4197,77
4198,69
4199,64
4200,71
4201,69
4202,69
4203,77
4204,84
4205,48
4206,55
4207,81
4208,62
4209,64
4210,66
4211,65
4212,60
4213,80
4214,84
4215,43
4216,28
4217,84
4218,89
4219,78
4220,75
4221,74
4222,31
4223,45
4224,72
4225,33
4226,66
4227,63
4228,59
4229,71
4230,71
4231,68
4232,53
4233,53
4234,72
4235,69
4236,48
4237,36
4238,54
4239,67
4240,72
4241,46
4242,78
4243,38
4244,67
4245,85
4246,64
4247,59
4248,66
4249,77
4250,81
4251,49
4252,37
4253,76
4254,50
4255,80
4256,75
4257,77
4258,61
4259,66
4260,70
4261,60
4262,51
4263,55
4264,35
4265,78
4266,76
4267,76
4268,67
4269,73
4270,34
4271,88
4272,72
4273,73
4274,73
4275,64
4276,70
4277,76
4278,76
4279,65
4280,70
4281,63
4282,78
4283,68
4284,68
4285,70
4286,72
4287,79
4288,35
4289,49
4290,67
4291,55
4292,69
4293,55
4294,54
4295,82
4296,57
4297,72
4298,39
4299,59
4300,79
4301,60
4302,66
4303,70
4304,61
4305,59
4306,63
4307,71
4308,67
4309,72
4310,65
4311,59
4312,44
4313,68
4314,60
4315,46
4316,56
4317,78
4318,82
4319,93
4320,69
4321,75
4322,81
4323,75
4324,72
4325,48
4326,66
4327,56
4328,33
4329,58
4330,63
4331,71
4332,22
4333,70
4334,74
4335,74
4336,77
4337,63
4338,81
4339,75
4340,73
4341,26
4342,64
4343,49
4344,65
4345,76
4346,34
4347,41
4348,72
4349,53
4350,74
4351,58
4352,40
4353,89
4354,70
4355,78
4356,65
4357,64
4358,67
4359,41
4360,72
4361,71
4362,56
4363,72
4364,58
4365,72
4366,77
4367,73
4368,76
4369,87
4370,62
4371,53
4372,86
4373,75
4374,44
4375,70
4376,72
4377,76
4378,74
4379,80
4380,83
4381,92
4382,47
4383,36
4384,70
4385,83
4386,83
4387,37
4388,32
4389,71
4390,35
4391,71
4392,69
4393,33
4394,52
4395,66
4396,81
4397,88
4398,67
4399,66
4400,74
4401,67
4402,79
4403,69
4404,56
4405,59
4406,71
4407,28
4408,69
4409,45
4410,52
4411,54
4412,60
4413,62
4414,38
4415,69
4416,60
4417,58
4418,75
4419,81
4420,50
4421,77
4422,80
4423,67
4424,78
4425,69
4426,73
4427,75
4428,66
4429,86
4430,73
4431,65
4432,46
4433,35
4434,60
4435,57
4436,78
4437,78
4438,73
4439,79
4440,56
4441,71
4442,77
4443,70
4444,85
4445,80
4446,67
4447,35
4448,67
4449,40
4450,66
4451,57
4452,68
4453,56
4454,74
4455,68
4456,64
4457,71
4458,51
4459,34
4460,79
4461,34
4462,66
4463,41
4464,65
4465,87
4466,70
4467,32
4468,60
4469,78
4470,69
4471,60
4472,66
4473,74
4474,58
4475,33
4476,59
4477,61
4478,75
4479,65
4480,51
4481,50
4482,67
4483,51
4484,43
4485,88
4486,67
4487,70
4488,70
4489,83
4490,57
4491,59
4492,69
4493,61
4494,73
4495,56
4496,78
4497,25
4498,77
4499,86
4500,43
4501,61
4502,63
4503,59
4504,47
4505,57
4506,85
4507,73
4508,77
4509,72
4510,50
4511,73
4512,68
4513,87
4514,68
4515,49
4516,76
4517,76
4518,34
4519,73
4520,48
4521,75
4522,57
4523,55
4524,75
4525,80
4526,60
4527,61
4528,65
4529,47
4530,87
4531,70
4532,71
4533,65
4534,50
4535,65
4536,58
4537,60
4538,66
4539,66
4540,73
4541,71
4542,67
4543,52
4544,56
4545,74
4546,60
4547,73
4548,88
4549,60
4550,60
4551,78
4552,61
4553,66
4554,83
4555,22
4556,70
4557,65
4558,67
4559,63
4560,74
4561,65
4562,79
4563,74
4564,71
4565,59
4566,61
4567,45
4568,70
4569,43
4570,89
4571,78
4572,61
4573,51
4574,52
4575,77
4576,66
4577,62
4578,49
4579,68
4580,70
4581,81
4582,67
4583,57
4584,65
4585,65
4586,53
4587,70
4588,71
4589,64
4590,64
4591,64
4592,76
4593,59
4594,84
4595,75
4596,44
4597,50
4598,77
4599,57
4600,32
4601,87
4602,67
4603,92
4604,45
4605,72
4606,45
4607,67
4608,59
4609,78
4610,56
4611,86
4612,77
4613,86
4614,33
4615,70
4616,20
4617,69
4618,19
4619,60
4620,65
4621,77
4622,33
4623,68
4624,67
4625,67
4626,75
4627,81
4628,64
4629,60
4630,49
4631,54
4632,81
4633,73
4634,40
4635,33
4636,58
4637,60
4638,62
4639,32
4640,75
4641,75
4642,66
4643,70
4644,65
4645,92
4646,75
4647,62
4648,56
4649,55
4650,44
4651,72
4652,35
4653,61
4654,52
4655,65
4656,65
4657,82
4658,58
4659,55
4660,80
4661,67
4662,46
4663,52
4664,74
4665,60
4666,80
4667,74
4668,68
4669,73
4670,80
4671,80
4672,71
4673,45
4674,71
4675,54
4676,33
4677,68
4678,44
4679,49
4680,51
4681,68
4682,83
4683,78
4684,75
4685,60
4686,62
4687,57
4688,66
4689,75
4690,41
4691,43
4692,43
4693,60
4694,59
4695,93
4696,57
4697,62
4698,64
4699,73
4700,70
4701,64
4702,63
4703,37
4704,59
4705,52
4706,75
4707,79
4708,66
4709,44
4710,76
4711,56
4712,31
4713,83
4714,41
4715,72
4716,57
4717,51
4718,72
4719,80
4720,61
4721,75
4722,63
4723,80
4724,51
4725,60
4726,74
4727,69
4728,58
4729,76
4730,44
4731,55
4732,64
4733,36
4734,67
4735,57
4736,71
4737,39
4738,55
4739,69
4740,57
4741,68
4742,45
4743,45
4744,65
4745,68
4746,76
4747,75
4748,66
4749,37
4750,78
4751,47
4752,46
4753,53
4754,33
4755,65
4756,47
4757,64
4758,50
4759,76
4760,44
4761,71
4762,69
4763,85
4764,60
4765,54
4766,86
4767,70
4768,69
4769,51
4770,66
4771,61
4772,42
4773,60
4774,58
4775,75
4776,73
4777,62
4778,89
4779,81
4780,45
4781,79
4782,75
4783,76
4784,51
4785,55
4786,80
4787,81
4788,62
4789,80
4790,77
4791,32
4792,60
4793,82
4794,82
4795,54
4796,65
4797,44
4798,34
4799,50
4800,72
4801,70
4802,67
4803,31
4804,76
4805,49
4806,65
4807,83
4808,58
4809,38
4810,30
4811,72
4812,36
4813,74
4814,81
4815,91
4816,52
4817,72
4818,87
4819,38
4820,65
4821,58
4822,40
4823,65
4824,73
4825,72
4826,62
4827,45
4828,75
4829,32
4830,65
4831,69
4832,64
4833,62
4834,68
4835,77
4836,63
4837,29
4838,60
4839,76
4840,61
4841,29
4842,73
4843,74
4844,78
4845,78
4846,80
4847,62
4848,65
4849,80
4850,45
4851,83
4852,74
4853,69
4854,66
4855,64
4856,84
4857,65
4858,30
4859,46
4860,79
4861,81
4862,60
4863,73
4864,83
4865,70
4866,69
4867,81
4868,59
4869,78
4870,71
4871,55
4872,59
4873,76
4874,83
4875,71
4876,55
4877,40
4878,59
4879,69
4880,66
4881,73
4882,86
4883,41
4884,83
4885,76
4886,57
4887,81
4888,68
4889,34
4890,51
4891,66
4892,91
4893,78
4894,34
4895,71
4896,71
4897,39
4898,56
4899,44
4900,71
4901,69
4902,72
4903,74
4904,55
4905,65
4906,54
4907,68
4908,72
4909,43
4910,69
4911,58
4912,55
4913,79
4914,63
4915,54
4916,53
4917,70
4918,64
4919,70
4920,77
4921,33
4922,52
4923,80
4924,58
4925,62
4926,60
4927,61
4928,58
4929,68
4930,34
4931,71
4932,71
4933,81
4934,71
4935,80
4936,62
4937,66
4938,64
4939,65
4940,37
4941,38
4942,72
4943,71
4944,71
4945,59
4946,60
4947,60
4948,68
4949,67
4950,54
4951,62
4952,38
4953,79
4954,66
4955,58
4956,60
4957,89
4958,46
4959,64
4960,67
4961,54
4962,83
4963,36
4964,76
4965,67
4966,68
4967,63
4968,56
4969,58
4970,63
4971,65
4972,56
4973,46
4974,38
4975,71
4976,66
4977,63
4978,83
4979,37
4980,60
4981,64
4982,74
4983,71
4984,73
4985,78
4986,61
4987,56
4988,90
4989,67
4990,51
4991,76
4992,61
4993,57
4994,72
4995,76
4996,81
4997,44
4998,44
4999,68
5000,65
5001,72
5002,58
5003,61
5004,69
5005,76
5006,71
5007,69
5008,74
5009,74
5010,45
5011,70
5012,61
5013,64
5014,50
5015,59
5016,74
5017,63
5018,71
5019,60
5020,42
5021,51
5022,83
5023,62
5024,66
5025,40
5026,40
5027,69
5028,69
5029,68
5030,73
5031,83
5032,59
5033,64
5034,60
5035,67
5036,58
5037,79
5038,42
5039,69
5040,87
5041,87
5042,66
5043,62
5044,42
5045,73
5046,78
5047,62
5048,58
5049,58
5050,37
5051,70
5052,37
5053,73
5054,46
5055,49
5056,86
5057,49
5058,37
5059,52
5060,56
5061,53
5062,92
5063,66
5064,66
5065,45
5066,59
5067,52
5068,77
5069,53
5070,63
5071,78
5072,44
5073,67
5074,66
5075,56
5076,68
5077,63
5078,69
5079,64
5080,87
5081,82
5082,74
5083,82
5084,70
5085,55
5086,52
5087,62
5088,71
5089,67
5090,74
5091,71
5092,51
5093,59
5094,41
5095,45
5096,66
5097,64
5098,75
5099,75
5100,75
5101,61
5102,79
5103,53
5104,65
5105,72
5106,72
5107,82
5108,60
5109,90
5110,69
5111,71
5112,60
5113,62
5114,86
5115,64
5116,79
5117,64
5118,85
5119,63
5120,82
5121,75
5122,73
5123,73
5124,69
5125,42
5126,72
5127,46
5128,60
5129,59
5130,69
5131,72
5132,69
5133,60
5134,74
5135,51
5136,60
5137,51
5138,70
5139,58
5140,58
5141,79
5142,62
5143,64
5144,32
5145,49
5146,44
5147,76
5148,59
5149,56
5150,61
5151,61
5152,80
5153,44
5154,64
5155,42
5156,70
5157,75
5158,57
5159,58
5160,71
5161,74
5162,55
5163,75
5164,56
5165,32
5166,60
5167,52
5168,38
5169,34
5170,52
5171,67
5172,81
5173,41
5174,71
5175,55
5176,53
5177,62
5178,68
5179,68
5180,65
5181,80
5182,68
5183,80
5184,75
5185,80
5186,66
5187,62
5188,70
5189,93
5190,61
5191,62
5192,76
5193,80
5194,75
5195,66
5196,63
5197,77
5198,63
5199,63
5200,58
5201,68
5202,68
5203,69
5204,66
5205,53
5206,68
5207,50
5208,74
5209,67
5210,74
5211,87
5212,60
5213,74
5214,74
5215,65
5216,75
5217,66
5218,63
5219,76
5220,37
5221,69
5222,89
5223,71
5224,84
5225,55
5226,75
5227,66
5228,46
5229,90
5230,71
5231,62
5232,72
5233,92
5234,64
5235,68
5236,76
5237,58
5238,60
5239,73
5240,33
5241,69
5242,66
5243,76
5244,68
5245,72
5246,40
5247,78
5248,61
5249,54
5250,65
5251,71
5252,60
5253,60
5254,84
5255,64
5256,78
5257,55
5258,77
5259,76
5260,56
5261,52
5262,71
5263,74
5264,74
5265,79
5266,58
5267,74
5268,36
5269,76
5270,38
5271,80
5272,76
5273,59
5274,75
5275,63
5276,78
5277,78
5278,71
5279,69
5280,32
5281,71
5282,47
5283,52
5284,55
5285,61
5286,43
5287,72
5288,66
5289,70
5290,78
5291,74
5292,71
5293,58
5294,77
5295,92
5296,90
5297,75
5298,75
5299,53
5300,73
5301,74
5302,71
5303,64
5304,64
5305,53
5306,77
5307,57
5308,73
5309,74
5310,62
5311,73
5312,55
5313,85
5314,40
5315,41
5316,71
5317,49
5318,91
5319,71
5320,65
5321,85
5322,52
5323,65
5324,52
5325,85
5326,75
5327,75
5328,88
5329,61
5330,78
5331,31
5332,69
5333,76
5334,43
5335,79
5336,65
5337,72
5338,74
5339,67
5340,70
5341,43
5342,42
5343,65
5344,53
5345,78
5346,92
5347,67
5348,60
5349,75
5350,60
5351,75
5352,70
5353,72
5354,34
5355,34
5356,72
5357,89
5358,72
5359,62
5360,63
5361,35
5362,69
5363,56
5364,46
5365,74
5366,62
5367,74
5368,73
5369,78
5370,53
5371,75
5372,75
5373,41
5374,66
5375,64
5376,78
5377,70
5378,62
5379,23
5380,67
5381,71
5382,77
5383,71
5384,59
5385,74
5386,71
5387,69
5388,32
5389,51
5390,59
5391,75
5392,41
5393,77
5394,83
5395,52
5396,69
5397,63
5398,84
5399,35
5400,52
5401,62
5402,68
5403,82
5404,70
5405,55
5406,55
5407,33
5408,34
5409,74
5410,57
5411,60
5412,72
5413,79
5414,45
5415,66
5416,91
5417,72
5418,62
5419,90
5420,46
5421,65
5422,56
5423,38
5424,74
5425,70
5426,77
5427,32
5428,63
5429,71
5430,81
5431,85
5432,67
5433,79
5434,73
5435,72
5436,74
5437,32
5438,74
5439,51
5440,68
5441,73
5442,71
5443,68
5444,64
5445,65
5446,79
5447,70
5448,72
5449,84
5450,72
5451,69
5452,57
5453,60
5454,80
5455,89
5456,62
5457,62
5458,82
5459,41
5460,65
5461,67
5462,82
5463,72
5464,83
5465,64
5466,63
5467,73
5468,55
5469,68
5470,72
5471,44
5472,21
5473,83
5474,73
5475,49
5476,41
5477,74
5478,77
5479,71
5480,21
5481,57
5482,83
5483,60
5484,43
5485,41
5486,65
5487,75
5488,42
5489,61
5490,71
5491,53
5492,64
5493,61
5494,66
5495,70
5496,76
5497,83
5498,59
5499,50
5500,75
5501,82
5502,78
5503,81
5504,66
5505,78
5506,54
5507,64
5508,64
5509,86
5510,80
5511,65
5512,73
5513,55
5514,65
5515,63
5516,72
5517,51
5518,24
5519,71
5520,86
5521,60
5522,44
5523,50
5524,89
5525,42
5526,79
5527,66
5528,71
5529,47
5530,54
5531,80
5532,49
5533,32
5534,77
5535,57
5536,82
5537,65
5538,67
5539,78
5540,53
5541,62
5542,56
5543,74
5544,92
5545,56
5546,73
5547,82
5548,63
5549,55
5550,67
5551,75
5552,73
5553,72
5554,40
5555,59
5556,52
5557,47
5558,40
5559,40
5560,51
5561,79
5562,71
5563,64
5564,67
5565,72
5566,63
5567,68
5568,66
5569,39
5570,60
5571,65
5572,61
5573,53
5574,56
5575,66
5576,74
5577,71
5578,58
5579,25
5580,43
5581,49
5582,70
5583,83
5584,74
5585,78
5586,67
5587,70
5588,55
5589,61
5590,44
5591,70
5592,81
5593,72
5594,66
5595,41
5596,74
5597,81
5598,70
5599,41
5600,58
5601,67
5602,76
5603,78
5604,83
5605,72
5606,73
5607,61
5608,56
5609,76
5610,76
5611,71
5612,67
5613,30
5614,71
5615,90
5616,24
5617,57
5618,60
5619,76
5620,63
5621,73
5622,82
5623,71
5624,68
5625,66
5626,91
5627,77
5628,69
5629,66
5630,71
5631,61
5632,78
5633,69
5634,62
5635,41
5636,80
5637,52
5638,54
5639,72
5640,82
5641,78
5642,61
5643,64
5644,73
5645,57
5646,71
5647,42
5648,66
5649,73
5650,51
5651,57
5652,74
5653,34
5654,74
5655,69
5656,78
5657,44
5658,77
5659,40
5660,83
5661,83
5662,55
5663,59
5664,39
5665,84
5666,62
5667,64
5668,57
5669,40
5670,86
5671,84
5672,78
5673,50
5674,71
5675,55
5676,59
5677,43
5678,58
5679,72
5680,77
5681,57
5682,50
5683,73
5684,72
5685,64
5686,32
5687,66
5688,50
5689,52
5690,81
5691,58
5692,80
5693,85
5694,70
5695,34
5696,77
5697,58
5698,65
5699,72
5700,84
5701,76
5702,57
5703,72
5704,54
5705,79
5706,58
5707,53
5708,73
5709,46
5710,62
5711,63
5712,63
5713,56
5714,57
5715,70
5716,64
5717,68
5718,74
5719,75
5720,67
5721,39
5722,43
5723,56
5724,79
5725,73
5726,81
5727,69
5728,64
5729,78
5730,71
5731,68
5732,61
5733,34
5734,66
5735,65
5736,75
5737,75
5738,71
5739,75
5740,71
5741,80
5742,60
5743,62
5744,36
5745,68
5746,83
5747,60
5748,64
5749,65
5750,74
5751,24
5752,64
5753,69
5754,38
5755,53
5756,56
5757,47
5758,36
5759,68
5760,76
5761,57
5762,53
5763,53
5764,62
5765,72
5766,57
5767,96
5768,31
5769,51
5770,41
5771,53
5772,55
5773,70
5774,74
5775,57
5776,50
5777,70
5778,50
5779,54
5780,57
5781,67
5782,65
5783,39
5784,62
5785,72
5786,81
5787,60
5788,46
5789,78
5790,73
5791,68
5792,84
5793,58
5794,66
5795,41
5796,60
