,Aggression
2997,68
2998,24
2999,52
3000,62
3001,31
3002,44
3003,77
3004,75
3005,54
3006,44
3007,25
3008,54
3009,54
3010,78
3011,70
3012,75
3013,77
3014,54
3015,76
3016,58
3017,72
3018,33
3019,64
3020,46
3021,78
3022,73
3023,66
3024,70
3025,74
3026,77
3027,33
3028,68
3029,69
3030,55
3031,73
3032,58
3033,69
3034,56
3035,70
3036,77
3037,61
3038,68
3039,80
3040,83
3041,62
3042,77
3043,59
3044,24
3045,48
3046,21
3047,77
3048,75
3049,36
3050,63
3051,36
3052,42
3053,35
3054,76
3055,86
3056,86
3057,41
3058,63
3059,59
3060,59
3061,61
3062,68
3063,71
3064,71
3065,77
3066,40
3067,77
3068,31
3069,78
3070,76
3071,39
3072,66
3073,84
3074,72
3075,49
3076,63
3077,81
3078,68
3079,62
3080,70
3081,75
3082,63
3083,29
3084,22
3085,61
3086,36
3087,60
3088,54
3089,81
3090,45
3091,54
3092,42
3093,36
3094,23
3095,38
3096,72
3097,42
3098,73
3099,71
3100,24
3101,70
3102,62
3103,72
3104,72
3105,72
3106,75
3107,77
3108,76
3109,82
3110,61
3111,61
3112,73
3113,82
3114,82
3115,42
3116,68
3117,80
3118,71
3119,36
3120,58
3121,79
3122,86
3123,74
3124,59
3125,24
3126,89
3127,75
3128,37
3129,45
3130,60
3131,24
3132,71
3133,59
3134,44
3135,81
3136,23
3137,69
3138,88
3139,62
3140,82
3141,40
3142,72
3143,66
3144,80
3145,76
3146,27
3147,76
3148,80
3149,63
3150,70
3151,29
3152,43
3153,72
3154,62
3155,72
3156,79
3157,52
3158,69
3159,84
3160,73
3161,42
3162,42
3163,31
3164,71
3165,69
3166,69
3167,64
3168,22
3169,41
3170,56
3171,55
3172,40
3173,64
3174,57
3175,77
3176,45
3177,57
3178,66
3179,28
3180,61
3181,26
3182,81
3183,26
3184,76
3185,60
3186,69
3187,53
3188,72
3189,79
3190,32
3191,78
3192,58
3193,74
3194,80
3195,77
3196,70
3197,38
3198,64
3199,56
3200,46
3201,64
3202,47
3203,76
3204,68
3205,50
3206,84
3207,58
3208,43
3209,58
3210,69
3211,74
3212,58
3213,58
3214,71
3215,67
3216,61
3217,41
3218,44
3219,77
3220,73
3221,79
3222,84
3223,71
3224,69
3225,64
3226,69
3227,59
3228,54
3229,69
3230,78
3231,74
3232,66
3233,61
3234,64
3235,39
3236,68
3237,58
3238,56
3239,55
3240,43
3241,81
3242,92
3243,87
3244,72
3245,73
3246,58
3247,66
3248,46
3249,73
3250,77
3251,75
3252,69
3253,50
3254,65
3255,73
3256,63
3257,86
3258,90
3259,78
3260,62
3261,34
3262,79
3263,79
3264,79
3265,75
3266,48
3267,67
3268,78
3269,87
3270,78
3271,88
3272,69
3273,67
3274,83
3275,62
3276,63
3277,74
3278,70
3279,12
3280,47
3281,70
3282,32
3283,68
3284,71
3285,50
3286,88
3287,73
3288,48
3289,77
3290,70
3291,69
3292,68
3293,68
3294,49
3295,69
3296,74
3297,76
3298,67
3299,77
3300,64
3301,52
3302,59
3303,35
3304,52
3305,81
3306,31
3307,58
3308,62
3309,47
3310,60
3311,52
3312,51
3313,68
3314,72
3315,72
3316,66
3317,52
3318,36
3319,71
3320,70
3321,77
3322,66
3323,81
3324,72
3325,60
3326,71
3327,60
3328,70
3329,66
3330,71
3331,28
3332,80
3333,70
3334,22
3335,70
3336,70
3337,25
3338,76
3339,81
3340,56
3341,42
3342,43
3343,72
3344,66
3345,63
3346,69
3347,79
3348,68
3349,83
3350,77
3351,17
3352,53
3353,78
3354,31
3355,64
3356,24
3357,75
3358,50
3359,59
3360,70
3361,75
3362,59
3363,80
3364,64
3365,62
3366,62
3367,67
3368,50
3369,71
3370,35
3371,45
3372,34
3373,56
3374,39
3375,59
3376,73
3377,75
3378,48
3379,75
3380,27
3381,46
3382,56
3383,29
3384,64
3385,81
3386,82
3387,68
3388,20
3389,53
3390,78
3391,72
3392,60
3393,66
3394,70
3395,71
3396,68
3397,83
3398,70
3399,27
3400,71
3401,38
3402,67
3403,88
3404,76
3405,64
3406,59
3407,22
3408,61
3409,59
3410,77
3411,72
3412,54
3413,42
3414,79
3415,70
3416,73
3417,73
3418,66
3419,73
3420,67
3421,78
3422,52
3423,76
3424,60
3425,67
3426,76
3427,66
3428,77
3429,69
3430,71
3431,63
3432,77
3433,66
3434,48
3435,48
3436,52
3437,67
3438,43
3439,60
3440,77
3441,72
3442,78
3443,47
3444,66
3445,49
3446,71
3447,60
3448,68
3449,71
3450,72
3451,77
3452,51
3453,45
3454,42
3455,82
3456,30
3457,58
3458,59
3459,87
3460,77
3461,69
3462,68
3463,37
3464,13
3465,85
3466,58
3467,81
3468,81
3469,48
3470,53
3471,62
3472,61
3473,74
3474,34
3475,73
3476,45
3477,84
3478,72
3479,85
3480,36
3481,86
3482,73
3483,70
3484,72
3485,48
3486,25
3487,45
3488,57
3489,68
3490,73
3491,64
3492,74
3493,78
3494,56
3495,75
3496,21
3497,62
3498,75
3499,62
3500,69
3501,37
3502,70
3503,75
3504,80
3505,76
3506,80
3507,75
3508,38
3509,66
3510,66
3511,46
3512,74
3513,54
3514,77
3515,43
3516,71
3517,47
3518,73
3519,73
3520,61
3521,67
3522,85
3523,56
3524,55
3525,70
3526,75
3527,77
3528,77
3529,70
3530,77
3531,71
3532,72
3533,46
3534,74
3535,72
3536,60
3537,76
3538,69
3539,68
3540,68
3541,82
3542,75
3543,75
3544,46
3545,59
3546,38
3547,66
3548,27
3549,68
3550,68
3551,54
3552,45
3553,46
3554,67
3555,66
3556,71
3557,48
3558,58
3559,68
3560,62
3561,82
3562,65
3563,71
3564,69
3565,62
3566,53
3567,40
3568,59
3569,47
3570,47
3571,81
3572,66
3573,72
3574,80
3575,81
3576,48
3577,72
3578,82
3579,56
3580,59
3581,70
3582,78
3583,64
3584,18
3585,68
3586,78
3587,70
3588,62
3589,80
3590,77
3591,77
3592,61
3593,61
3594,67
3595,82
3596,66
3597,67
3598,45
3599,71
3600,71
3601,59
3602,51
3603,61
3604,56
3605,71
3606,74
3607,82
3608,67
3609,85
3610,29
3611,70
3612,74
3613,24
3614,83
3615,37
3616,68
3617,39
3618,87
3619,45
3620,71
3621,71
3622,73
3623,33
3624,72
3625,53
3626,79
3627,69
3628,55
3629,77
3630,72
3631,78
3632,80
3633,68
3634,30
3635,77
3636,69
3637,58
3638,80
3639,42
3640,72
3641,71
3642,69
3643,72
3644,59
3645,74
3646,71
3647,68
3648,81
3649,66
3650,67
3651,58
3652,56
3653,63
3654,75
3655,68
3656,68
3657,34
3658,69
3659,68
3660,73
3661,72
3662,31
3663,59
3664,72
3665,47
3666,70
3667,69
3668,72
3669,31
3670,68
3671,75
3672,75
3673,69
3674,33
3675,58
3676,75
3677,74
3678,61
3679,39
3680,44
3681,31
3682,81
3683,77
3684,49
3685,49
3686,41
3687,71
3688,84
3689,70
3690,75
3691,65
3692,71
3693,39
3694,74
3695,68
3696,30
3697,48
3698,82
3699,76
3700,76
3701,70
3702,48
3703,67
3704,59
3705,82
3706,77
3707,83
3708,31
3709,80
3710,90
3711,70
3712,40
3713,45
3714,42
3715,70
3716,80
3717,75
3718,70
3719,70
3720,69
3721,70
3722,68
3723,68
3724,61
3725,85
3726,78
3727,75
3728,36
3729,72
3730,78
3731,84
3732,68
3733,65
3734,33
3735,35
3736,74
3737,78
3738,45
3739,70
3740,55
3741,53
3742,64
3743,69
3744,58
3745,65
3746,50
3747,46
3748,70
3749,85
3750,73
3751,70
3752,68
3753,57
3754,54
3755,40
3756,70
3757,59
3758,74
3759,72
3760,69
3761,22
3762,69
3763,83
3764,59
3765,70
3766,73
3767,30
3768,75
3769,64
3770,78
3771,57
3772,72
3773,75
3774,75
3775,84
3776,62
3777,66
3778,81
3779,49
3780,71
3781,78
3782,58
3783,67
3784,43
3785,65
3786,55
3787,70
3788,71
3789,88
3790,64
3791,66
3792,78
3793,69
3794,71
3795,75
3796,72
3797,64
3798,58
3799,85
3800,43
3801,72
3802,43
3803,67
3804,68
3805,51
3806,68
3807,77
3808,79
3809,36
3810,91
3811,80
3812,71
3813,66
3814,59
3815,87
3816,74
3817,52
3818,76
3819,80
3820,75
3821,73
3822,27
3823,50
3824,44
3825,44
3826,67
3827,78
3828,62
3829,31
3830,75
3831,64
3832,75
3833,68
3834,44
3835,27
3836,74
3837,72
3838,57
3839,60
3840,40
3841,61
3842,73
3843,27
3844,30
3845,71
3846,63
3847,67
3848,80
3849,70
3850,78
3851,65
3852,51
3853,49
3854,66
3855,63
3856,70
3857,71
3858,85
3859,41
3860,71
3861,58
3862,90
3863,72
3864,72
3865,50
3866,57
3867,74
3868,39
3869,37
3870,75
3871,64
3872,71
3873,33
3874,66
3875,74
3876,74
3877,66
3878,64
3879,66
3880,43
3881,60
3882,71
3883,71
3884,65
3885,70
3886,53
3887,49
3888,43
3889,74
3890,76
3891,67
3892,80
3893,82
3894,65
3895,42
3896,73
3897,66
3898,65
3899,54
3900,67
3901,40
3902,57
3903,79
3904,69
3905,71
3906,25
3907,71
3908,64
3909,24
3910,72
3911,60
3912,73
3913,65
3914,20
3915,59
3916,77
3917,63
3918,27
3919,74
3920,21
3921,73
3922,62
3923,82
3924,53
3925,74
3926,55
3927,55
3928,83
3929,55
3930,38
3931,80
3932,68
3933,58
3934,75
3935,66
3936,60
3937,57
3938,63
3939,75
3940,66
3941,68
3942,81
3943,72
3944,72
3945,59
3946,69
3947,29
3948,56
3949,75
3950,80
3951,79
3952,63
3953,67
3954,90
3955,69
3956,75
3957,65
3958,67
3959,88
3960,80
3961,76
3962,75
3963,43
3964,76
3965,58
3966,86
3967,71
3968,83
3969,79
3970,48
3971,56
3972,84
3973,44
3974,67
3975,79
3976,17
3977,30
3978,30
3979,71
3980,55
3981,45
3982,80
3983,79
3984,42
3985,65
3986,73
3987,54
3988,45
3989,58
3990,80
3991,50
3992,72
3993,29
3994,71
3995,56
3996,65
3997,80
3998,66
3999,87
4000,70
4001,83
4002,44
4003,73
4004,58
4005,43
4006,73
4007,70
4008,74
4009,79
4010,53
4011,65
4012,44
4013,64
4014,79
4015,49
4016,83
4017,66
4018,26
4019,76
4020,73
4021,73
4022,26
4023,83
4024,74
4025,69
4026,77
4027,75
4028,75
4029,75
4030,12
4031,74
4032,61
4033,74
4034,72
4035,36
4036,83
4037,79
4038,63
4039,56
4040,71
4041,83
4042,54
4043,78
4044,41
4045,80
4046,79
4047,85
4048,70
4049,25
4050,67
4051,73
4052,60
4053,66
4054,28
4055,65
4056,28
4057,77
4058,75
4059,65
4060,29
4061,31
4062,74
4063,35
4064,40
4065,75
4066,70
4067,89
4068,76
4069,68
4070,80
4071,51
4072,62
4073,69
4074,40
4075,59
4076,70
4077,76
4078,72
4079,90
4080,90
4081,67
4082,61
4083,84
4084,75
4085,19
4086,64
4087,34
4088,73
4089,68
4090,73
4091,81
4092,53
4093,79
4094,71
4095,72
4096,77
4097,22
4098,54
4099,76
4100,60
4101,56
4102,72
4103,70
4104,94
4105,72
4106,54
4107,69
4108,73
4109,77
4110,77
4111,64
4112,57
4113,69
4114,74
4115,75
4116,73
4117,46
4118,82
4119,74
4120,45
4121,48
4122,75
4123,68
4124,34
4125,36
4126,59
4127,66
4128,54
4129,29
4130,68
4131,68
4132,75
4133,49
4134,26
4135,47
4136,63
4137,70
4138,56
4139,79
4140,64
4141,63
4142,66
4143,72
4144,62
4145,63
4146,50
4147,71
4148,73
4149,67
4150,65
4151,74
4152,75
4153,76
4154,78
4155,75
4156,87
4157,78
4158,49
4159,12
4160,38
4161,69
4162,76
4163,67
4164,64
4165,82
4166,33
4167,64
4168,70
4169,72
4170,64
4171,70
4172,68
4173,60
4174,76
4175,38
4176,41
4177,25
4178,42
4179,79
4180,58
4181,58
4182,58
4183,77
4184,39
4185,33
4186,60
4187,60
4188,86
4189,61
4190,70
4191,67
4192,62
4193,74
4194,62
4195,71
4196,33
4197,49
4198,57
4199,67
4200,60
4201,68
4202,77
4203,71
4204,59
4205,68
4206,68
4207,53
4208,66
4209,69
4210,72
4211,74
4212,64
4213,43
4214,37
4215,28
4216,29
4217,59
4218,72
4219,62
4220,40
4221,71
4222,28
4223,35
4224,65
4225,52
4226,70
4227,71
4228,78
4229,74
4230,77
4231,68
4232,61
4233,61
4234,76
4235,49
4236,32
4237,28
4238,77
4239,45
4240,54
4241,66
4242,68
4243,34
4244,71
4245,49
4246,78
4247,38
4248,76
4249,68
4250,80
4251,72
4252,74
4253,67
4254,74
4255,50
4256,60
4257,60
4258,73
4259,56
4260,77
4261,36
4262,44
4263,76
4264,82
4265,57
4266,34
4267,68
4268,46
4269,64
4270,75
4271,42
4272,85
4273,45
4274,68
4275,68
4276,84
4277,34
4278,66
4279,61
4280,60
4281,64
4282,57
4283,75
4284,75
4285,61
4286,77
4287,60
4288,11
4289,78
4290,85
4291,23
4292,71
4293,68
4294,80
4295,70
4296,60
4297,31
4298,70
4299,79
4300,31
4301,54
4302,81
4303,62
4304,90
4305,69
4306,45
4307,55
4308,67
4309,68
4310,69
4311,52
4312,29
4313,72
4314,26
4315,74
4316,78
4317,65
4318,26
4319,69
4320,73
4321,67
4322,69
4323,56
4324,48
4325,38
4326,69
4327,65
4328,77
4329,79
4330,82
4331,26
4332,40
4333,83
4334,61
4335,61
4336,72
4337,48
4338,67
4339,76
4340,57
4341,23
4342,80
4343,68
4344,82
4345,76
4346,74
4347,29
4348,74
4349,67
4350,63
4351,44
4352,41
4353,39
4354,37
4355,32
4356,76
4357,66
4358,65
4359,27
4360,35
4361,85
4362,72
4363,69
4364,66
4365,73
4366,46
4367,51
4368,86
4369,89
4370,69
4371,31
4372,81
4373,60
4374,85
4375,54
4376,68
4377,65
4378,64
4379,59
4380,83
4381,78
4382,78
4383,65
4384,65
4385,34
4386,34
4387,80
4388,80
4389,46
4390,76
4391,75
4392,39
4393,20
4394,28
4395,70
4396,46
4397,39
4398,74
4399,60
4400,36
4401,63
4402,63
4403,46
4404,69
4405,75
4406,61
4407,84
4408,42
4409,63
4410,72
4411,72
4412,54
4413,77
4414,90
4415,58
4416,75
4417,83
4418,45
4419,70
4420,80
4421,33
4422,55
4423,72
4424,78
4425,73
4426,78
4427,80
4428,67
4429,74
4430,63
4431,66
4432,49
4433,44
4434,40
4435,65
4436,71
4437,71
4438,72
4439,50
4440,64
4441,90
4442,74
4443,66
4444,52
4445,54
4446,71
4447,67
4448,76
4449,61
4450,81
4451,63
4452,64
4453,59
4454,50
4455,64
4456,57
4457,58
4458,56
4459,69
4460,35
4461,90
4462,75
4463,63
4464,68
4465,68
4466,68
4467,26
4468,68
4469,60
4470,65
4471,29
4472,64
4473,70
4474,63
4475,27
4476,78
4477,33
4478,29
4479,50
4480,37
4481,76
4482,57
4483,75
4484,17
4485,42
4486,48
4487,40
4488,40
4489,26
4490,80
4491,62
4492,83
4493,83
4494,82
4495,78
4496,50
4497,11
4498,51
4499,55
4500,79
4501,56
4502,23
4503,43
4504,76
4505,34
4506,51
4507,40
4508,80
4509,56
4510,13
4511,45
4512,68
4513,33
4514,82
4515,71
4516,60
4517,68
4518,73
4519,72
4520,70
4521,28
4522,60
4523,72
4524,27
4525,80
4526,55
4527,70
4528,73
4529,60
4530,52
4531,81
4532,56
4533,56
4534,35
4535,65
4536,16
4537,69
4538,81
4539,81
4540,69
4541,76
4542,62
4543,78
4544,72
4545,63
4546,68
4547,65
4548,81
4549,74
4550,76
4551,56
4552,50
4553,58
4554,66
4555,17
4556,75
4557,72
4558,73
4559,67
4560,72
4561,67
4562,69
4563,66
4564,71
4565,38
4566,71
4567,75
4568,69
4569,16
4570,39
4571,70
4572,82
4573,76
4574,60
4575,71
4576,58
4577,62
4578,36
4579,73
4580,46
4581,41
4582,70
4583,79
4584,37
4585,74
4586,80
4587,74
4588,69
4589,54
4590,54
4591,74
4592,59
4593,55
4594,57
4595,77
4596,48
4597,25
4598,67
4599,69
4600,12
4601,61
4602,58
4603,46
4604,27
4605,80
4606,72
4607,75
4608,68
4609,55
4610,75
4611,56
4612,58
4613,58
4614,85
4615,56
4616,44
4617,81
4618,34
4619,75
4620,76
4621,78
4622,74
4623,81
4624,69
4625,71
4626,70
4627,67
4628,66
4629,68
4630,69
4631,63
4632,68
4633,87
4634,39
4635,71
4636,77
4637,80
4638,77
4639,58
4640,41
4641,41
4642,73
4643,56
4644,71
4645,32
4646,52
4647,56
4648,51
4649,66
4650,32
4651,75
4652,44
4653,65
4654,67
4655,83
4656,65
4657,68
4658,63
4659,68
4660,72
4661,33
4662,80
4663,74
4664,60
4665,84
4666,60
4667,49
4668,74
4669,30
4670,70
4671,53
4672,72
4673,72
4674,56
4675,19
4676,70
4677,61
4678,70
4679,68
4680,75
4681,77
4682,76
4683,70
4684,39
4685,36
4686,20
4687,62
4688,68
4689,69
4690,41
4691,35
4692,35
4693,74
4694,70
4695,67
4696,71
4697,63
4698,90
4699,79
4700,59
4701,26
4702,71
4703,25
4704,82
4705,71
4706,45
4707,54
4708,22
4709,81
4710,58
4711,25
4712,36
4713,36
4714,76
4715,76
4716,60
4717,24
4718,49
4719,57
4720,77
4721,59
4722,57
4723,73
4724,78
4725,73
4726,56
4727,81
4728,77
4729,68
4730,72
4731,82
4732,75
4733,80
4734,75
4735,65
4736,83
4737,35
4738,31
4739,65
4740,56
4741,70
4742,63
4743,63
4744,61
4745,74
4746,52
4747,60
4748,67
4749,33
4750,71
4751,67
4752,67
4753,70
4754,25
4755,73
4756,67
4757,64
4758,70
4759,68
4760,22
4761,40
4762,80
4763,52
4764,71
4765,75
4766,70
4767,67
4768,66
4769,24
4770,76
4771,61
4772,76
4773,75
4774,41
4775,65
4776,40
4777,70
4778,65
4779,75
4780,48
4781,74
4782,81
4783,78
4784,70
4785,58
4786,56
4787,76
4788,71
4789,37
4790,77
4791,30
4792,55
4793,75
4794,75
4795,76
4796,69
4797,68
4798,24
4799,79
4800,71
4801,74
4802,85
4803,33
4804,69
4805,64
4806,70
4807,58
4808,73
4809,84
4810,23
4811,52
4812,26
4813,83
4814,51
4815,81
4816,80
4817,76
4818,46
4819,21
4820,67
4821,79
4822,15
4823,80
4824,43
4825,62
4826,67
4827,67
4828,69
4829,80
4830,63
4831,26
4832,49
4833,55
4834,53
4835,64
4836,81
4837,76
4838,78
4839,75
4840,54
4841,72
4842,37
4843,71
4844,70
4845,70
4846,74
4847,80
4848,70
4849,66
4850,83
4851,65
4852,60
4853,34
4854,60
4855,70
4856,74
4857,43
4858,71
4859,77
4860,49
4861,59
4862,69
4863,78
4864,54
4865,61
4866,34
4867,63
4868,70
4869,66
4870,69
4871,74
4872,71
4873,63
4874,71
4875,43
4876,61
4877,25
4878,51
4879,44
4880,72
4881,85
4882,62
4883,20
4884,49
4885,56
4886,69
4887,47
4888,78
4889,66
4890,71
4891,71
4892,36
4893,48
4894,63
4895,76
4896,76
4897,81
4898,70
4899,62
4900,67
4901,88
4902,61
4903,75
4904,63
4905,35
4906,90
4907,54
4908,71
4909,39
4910,67
4911,82
4912,52
4913,59
4914,80
4915,52
4916,64
4917,28
4918,78
4919,76
4920,71
4921,84
4922,73
4923,74
4924,59
4925,66
4926,69
4927,68
4928,64
4929,75
4930,38
4931,46
4932,64
4933,84
4934,65
4935,64
4936,65
4937,50
4938,77
4939,40
4940,39
4941,32
4942,80
4943,48
4944,70
4945,75
4946,37
4947,37
4948,80
4949,78
4950,77
4951,41
4952,68
4953,64
4954,65
4955,46
4956,70
4957,38
4958,17
4959,65
4960,36
4961,74
4962,73
4963,54
4964,48
4965,47
4966,60
4967,58
4968,74
4969,43
4970,71
4971,74
4972,70
4973,18
4974,71
4975,56
4976,64
4977,63
4978,47
4979,35
4980,85
4981,62
4982,71
4983,71
4984,65
4985,38
4986,78
4987,20
4988,39
4989,70
4990,44
4991,63
4992,53
4993,66
4994,48
4995,38
4996,53
4997,21
4998,21
4999,43
5000,71
5001,65
5002,78
5003,62
5004,80
5005,61
5006,61
5007,77
5008,71
5009,59
5010,43
5011,33
5012,55
5013,62
5014,66
5015,66
5016,55
5017,58
5018,69
5019,76
5020,28
5021,18
5022,55
5023,60
5024,36
5025,81
5026,83
5027,78
5028,60
5029,73
5030,66
5031,71
5032,36
5033,85
5034,74
5035,73
5036,70
5037,80
5038,28
5039,38
5040,40
5041,32
5042,68
5043,52
5044,81
5045,59
5046,44
5047,70
5048,62
5049,62
5050,33
5051,64
5052,81
5053,53
5054,75
5055,71
5056,48
5057,37
5058,74
5059,19
5060,72
5061,55
5062,20
5063,65
5064,47
5065,77
5066,65
5067,30
5068,53
5069,66
5070,84
5071,49
5072,34
5073,58
5074,72
5075,63
5076,45
5077,70
5078,67
5079,63
5080,28
5081,52
5082,62
5083,61
5084,57
5085,57
5086,71
5087,78
5088,71
5089,53
5090,66
5091,74
5092,71
5093,18
5094,21
5095,45
5096,71
5097,72
5098,55
5099,66
5100,66
5101,69
5102,63
5103,83
5104,15
5105,63
5106,61
5107,62
5108,70
5109,49
5110,71
5111,51
5112,71
5113,74
5114,38
5115,74
5116,62
5117,48
5118,60
5119,65
5120,37
5121,78
5122,50
5123,65
5124,65
5125,22
5126,66
5127,18
5128,65
5129,72
5130,61
5131,46
5132,77
5133,57
5134,45
5135,41
5136,77
5137,58
5138,66
5139,72
5140,44
5141,62
5142,73
5143,70
5144,30
5145,78
5146,80
5147,70
5148,73
5149,72
5150,78
5151,78
5152,86
5153,63
5154,44
5155,24
5156,73
5157,70
5158,75
5159,64
5160,72
5161,80
5162,65
5163,40
5164,60
5165,27
5166,80
5167,72
5168,47
5169,90
5170,74
5171,62
5172,45
5173,29
5174,76
5175,32
5176,79
5177,52
5178,53
5179,77
5180,61
5181,65
5182,82
5183,51
5184,59
5185,56
5186,68
5187,64
5188,43
5189,45
5190,67
5191,68
5192,58
5193,71
5194,29
5195,59
5196,72
5197,75
5198,70
5199,55
5200,84
5201,84
5202,84
5203,35
5204,48
5205,82
5206,45
5207,51
5208,64
5209,71
5210,69
5211,81
5212,51
5213,69
5214,37
5215,71
5216,61
5217,56
5218,46
5219,68
5220,87
5221,56
5222,38
5223,80
5224,72
5225,77
5226,62
5227,47
5228,76
5229,67
5230,38
5231,66
5232,41
5233,84
5234,76
5235,55
5236,54
5237,63
5238,70
5239,80
5240,35
5241,71
5242,78
5243,63
5244,60
5245,69
5246,79
5247,57
5248,72
5249,75
5250,55
5251,76
5252,53
5253,53
5254,44
5255,70
5256,69
5257,72
5258,48
5259,71
5260,59
5261,18
5262,71
5263,54
5264,55
5265,59
5266,44
5267,78
5268,25
5269,73
5270,35
5271,86
5272,52
5273,83
5274,70
5275,68
5276,69
5277,65
5278,37
5279,59
5280,63
5281,65
5282,80
5283,70
5284,22
5285,41
5286,41
5287,73
5288,71
5289,77
5290,66
5291,70
5292,88
5293,80
5294,54
5295,60
5296,56
5297,58
5298,59
5299,25
5300,76
5301,67
5302,84
5303,63
5304,63
5305,77
5306,71
5307,77
5308,62
5309,57
5310,74
5311,50
5312,20
5313,56
5314,40
5315,29
5316,58
5317,32
5318,45
5319,63
5320,33
5321,60
5322,16
5323,88
5324,67
5325,74
5326,70
5327,59
5328,42
5329,66
5330,77
5331,32
5332,67
5333,29
5334,17
5335,67
5336,57
5337,58
5338,81
5339,47
5340,70
5341,75
5342,65
5343,53
5344,66
5345,69
5346,73
5347,72
5348,55
5349,72
5350,54
5351,75
5352,66
5353,40
5354,36
5355,36
5356,35
5357,35
5358,74
5359,80
5360,82
5361,33
5362,37
5363,71
5364,75
5365,49
5366,71
5367,73
5368,84
5369,64
5370,66
5371,55
5372,59
5373,27
5374,70
5375,64
5376,45
5377,56
5378,68
5379,22
5380,68
5381,72
5382,74
5383,71
5384,69
5385,62
5386,85
5387,45
5388,21
5389,73
5390,66
5391,65
5392,71
5393,56
5394,45
5395,70
5396,82
5397,65
5398,66
5399,72
5400,68
5401,76
5402,72
5403,69
5404,77
5405,34
5406,34
5407,80
5408,29
5409,70
5410,62
5411,76
5412,51
5413,66
5414,64
5415,70
5416,74
5417,61
5418,57
5419,47
5420,53
5421,80
5422,72
5423,30
5424,40
5425,65
5426,72
5427,22
5428,64
5429,50
5430,72
5431,38
5432,83
5433,69
5434,74
5435,79
5436,51
5437,71
5438,52
5439,73
5440,72
5441,69
5442,78
5443,68
5444,76
5445,68
5446,46
5447,90
5448,75
5449,70
5450,77
5451,64
5452,54
5453,68
5454,65
5455,76
5456,20
5457,20
5458,79
5459,68
5460,43
5461,59
5462,67
5463,64
5464,61
5465,72
5466,78
5467,48
5468,36
5469,43
5470,53
5471,54
5472,20
5473,63
5474,81
5475,68
5476,78
5477,44
5478,71
5479,48
5480,18
5481,68
5482,55
5483,64
5484,24
5485,73
5486,49
5487,60
5488,55
5489,32
5490,69
5491,80
5492,65
5493,70
5494,66
5495,66
5496,56
5497,79
5498,82
5499,54
5500,41
5501,63
5502,73
5503,74
5504,55
5505,41
5506,79
5507,85
5508,85
5509,71
5510,73
5511,44
5512,38
5513,83
5514,74
5515,61
5516,80
5517,69
5518,20
5519,75
5520,65
5521,61
5522,45
5523,73
5524,34
5525,17
5526,63
5527,71
5528,34
5529,67
5530,53
5531,80
5532,80
5533,75
5534,87
5535,54
5536,46
5537,67
5538,47
5539,72
5540,68
5541,40
5542,78
5543,61
5544,41
5545,62
5546,68
5547,75
5548,75
5549,75
5550,75
5551,40
5552,71
5553,65
5554,23
5555,69
5556,73
5557,53
5558,68
5559,68
5560,80
5561,24
5562,74
5563,68
5564,74
5565,62
5566,29
5567,62
5568,65
5569,72
5570,72
5571,66
5572,68
5573,64
5574,73
5575,87
5576,70
5577,69
5578,63
5579,38
5580,83
5581,73
5582,47
5583,64
5584,77
5585,41
5586,86
5587,74
5588,73
5589,57
5590,78
5591,35
5592,70
5593,61
5594,68
5595,33
5596,69
5597,54
5598,41
5599,19
5600,73
5601,85
5602,73
5603,36
5604,70
5605,67
5606,40
5607,75
5608,68
5609,51
5610,51
5611,58
5612,77
5613,61
5614,53
5615,76
5616,19
5617,16
5618,76
5619,73
5620,71
5621,70
5622,60
5623,56
5624,53
5625,69
5626,58
5627,70
5628,68
5629,66
5630,75
5631,73
5632,62
5633,65
5634,63
5635,83
5636,88
5637,74
5638,40
5639,46
5640,75
5641,79
5642,50
5643,75
5644,90
5645,62
5646,71
5647,30
5648,75
5649,74
5650,81
5651,67
5652,65
5653,73
5654,45
5655,70
5656,52
5657,27
5658,63
5659,25
5660,53
5661,53
5662,66
5663,66
5664,69
5665,47
5666,48
5667,81
5668,29
5669,32
5670,76
5671,28
5672,45
5673,40
5674,57
5675,65
5676,54
5677,29
5678,76
5679,38
5680,43
5681,55
5682,77
5683,66
5684,62
5685,75
5686,68
5687,65
5688,62
5689,32
5690,38
5691,42
5692,67
5693,74
5694,58
5695,79
5696,74
5697,74
5698,69
5699,65
5700,24
5701,75
5702,67
5703,50
5704,66
5705,39
5706,68
5707,49
5708,74
5709,26
5710,58
5711,62
5712,62
5713,62
5714,68
5715,78
5716,82
5717,33
5718,67
5719,64
5720,67
5721,73
5722,72
5723,71
5724,60
5725,63
5726,43
5727,68
5728,44
5729,44
5730,54
5731,51
5732,49
5733,23
5734,51
5735,80
5736,68
5737,68
5738,70
5739,41
5740,79
5741,70
5742,65
5743,66
5744,76
5745,47
5746,75
5747,73
5748,75
5749,53
5750,69
5751,74
5752,68
5753,70
5754,27
5755,80
5756,74
5757,61
5758,60
5759,68
5760,28
5761,74
5762,80
5763,80
5764,62
5765,73
5766,78
5767,65
5768,70
5769,81
5770,78
5771,33
5772,12
5773,37
5774,73
5775,75
5776,32
5777,91
5778,71
5779,53
5780,70
5781,56
5782,70
5783,66
5784,72
5785,86
5786,52
5787,66
5788,25
5789,68
5790,67
5791,61
5792,43
5793,16
5794,38
